epoch     train_loss  train_accuracy  train_top_k_accuracy  valid_loss  valid_accuracy  valid_top_k_accuracy  time    
0         1.037777    0.655048        0.908253              1.776720    0.638200        0.865400              00:36     
1         0.665074    0.820112        0.979968              0.751221    0.804000        0.956800              00:34     
2         0.517784    0.854567        0.984375              0.404944    0.866800        0.989800              00:34     
3         0.418529    0.876402        0.990986              0.446666    0.858600        0.986800              00:34     
4         0.372152    0.889223        0.990585              0.818749    0.861600        0.966800              00:33     
5         0.324431    0.904247        0.994391              0.487500    0.860000        0.982000              00:33     
6         0.339227    0.899439        0.991386              0.463919    0.860600        0.988400              00:33     
7         0.310910    0.910457        0.992388              0.429022    0.873400        0.988600              00:34     
8         0.274687    0.921074        0.994792              0.357406    0.895400        0.988200              00:35     
9         0.249809    0.925280        0.995393              0.541362    0.889400        0.983600              00:34     
10        0.245034    0.924880        0.994792              0.323893    0.903600        0.993400              00:34     
11        0.232441    0.934295        0.995593              0.268484    0.925400        0.992800              00:33     
12        0.240751    0.931490        0.991787              0.401486    0.894800        0.985200              00:35     
13        0.216152    0.940304        0.995593              0.309054    0.899600        0.992000              00:34     
14        0.199817    0.937901        0.996595              0.332887    0.907600        0.992200              00:34     
15        0.202800    0.942508        0.995994              1.000058    0.823600        0.951400              00:34     
16        0.201721    0.942107        0.995393              0.381366    0.893000        0.991400              00:34     
17        0.212275    0.935697        0.995593              0.763050    0.892400        0.977400              00:35     
18        0.176177    0.948117        0.996194              0.257395    0.924800        0.994400              00:33     
19        0.144271    0.960136        0.995593              0.440308    0.903800        0.989400              00:34     
20        0.165323    0.947516        0.995593              0.306837    0.928400        0.992800              00:34     
21        0.174302    0.947115        0.994992              0.314521    0.920200        0.990400              00:34     
22        0.168804    0.947716        0.996995              0.301243    0.925600        0.990800              00:33     
23        0.147937    0.956530        0.996795              0.290043    0.926600        0.993600              00:34     
24        0.144474    0.959936        0.996995              0.426985    0.901800        0.988400              00:34     
25        0.149272    0.955128        0.997796              0.311625    0.914800        0.994000              00:34     
26        0.167872    0.949519        0.995994              0.250499    0.933000        0.994400              00:35     
27        0.142180    0.959535        0.996595              0.225370    0.937400        0.995600              00:35     
28        0.131133    0.961538        0.998397              0.268485    0.922400        0.994200              00:34     
29        0.126341    0.960737        0.998397              0.264283    0.927800        0.994600              00:34     
30        0.133683    0.963742        0.997196              0.257940    0.928800        0.995400              00:34     
31        0.143075    0.957332        0.994391              0.359037    0.910200        0.991000              00:34     
32        0.123314    0.967949        0.997997              0.379751    0.907200        0.989200              00:34     
33        0.131848    0.957933        0.996394              0.281520    0.922600        0.992200              00:34     
34        0.120489    0.962139        0.997396              0.322669    0.920200        0.991800              00:35     
35        0.111089    0.962740        0.999199              0.548021    0.904800        0.984400              00:34     
36        0.118838    0.962340        0.996995              0.282652    0.923200        0.991000              00:34     
37        0.105750    0.966146        0.997596              0.340239    0.925200        0.992200              00:34     
38        0.111540    0.967949        0.997596              0.306672    0.929000        0.992600              00:34     
39        0.110295    0.968149        0.997196              0.323652    0.919200        0.991600              00:35     
40        0.115918    0.963542        0.997596              0.280004    0.924800        0.994000              00:34     
41        0.116237    0.962540        0.997997              0.252175    0.937000        0.993800              00:34     
42        0.108225    0.966546        0.997796              0.242685    0.937400        0.993000              00:34     
43        0.123617    0.959736        0.997796              0.385488    0.908400        0.991600              00:34     
44        0.110417    0.966747        0.998197              0.301812    0.921600        0.994400              00:34     
45        0.084937    0.977364        0.997997              0.247467    0.936800        0.994200              00:35     
46        0.101735    0.966546        0.998197              0.274242    0.927000        0.993800              00:34     
47        0.126956    0.963742        0.996394              0.277873    0.925400        0.991600              00:35     
48        0.105616    0.969551        0.997596              0.300608    0.926200        0.992200              00:33     
49        0.099899    0.966346        0.997997              0.226039    0.940000        0.994800              00:34     
50        0.099758    0.968550        0.998598              0.245628    0.939200        0.994200              00:34     
51        0.087807    0.974159        0.997396              0.303924    0.930600        0.994400              00:34     
52        0.088491    0.973157        0.998798              0.345031    0.930400        0.990800              00:34     
53        0.096149    0.966947        0.998197              0.290706    0.931400        0.990200              00:35     
54        0.089774    0.975160        0.998998              0.258732    0.937600        0.993200              00:34     
55        0.090830    0.974960        0.997997              0.328320    0.923800        0.992600              00:34     
56        0.094033    0.972556        0.998798              0.282394    0.929200        0.993600              00:34     
57        0.095071    0.971554        0.998397              0.259381    0.936200        0.994600              00:34     
58        0.099546    0.969151        0.998397              0.284206    0.928400        0.994200              00:35     
59        0.097720    0.968750        0.997796              0.267647    0.935400        0.992800              00:34     
60        0.084169    0.977965        0.998798              0.256245    0.941200        0.994200              00:34     
61        0.103837    0.971354        0.997997              0.322082    0.925800        0.992600              00:34     
62        0.092323    0.971955        0.998998              0.261925    0.939600        0.993800              00:35     
63        0.090851    0.973357        0.997396              0.342969    0.923800        0.991000              00:33     
64        0.102683    0.972756        0.998598              0.325802    0.922800        0.994400              00:33     
65        0.078670    0.977163        0.998197              0.250576    0.939000        0.994600              00:35     
66        0.083359    0.973958        0.998998              0.239580    0.938600        0.994200              00:34     
67        0.087341    0.975561        0.998598              0.272364    0.934400        0.994600              00:34     
68        0.077878    0.975561        0.997997              0.252844    0.934400        0.994400              00:34     
69        0.074936    0.979567        0.998998              0.291746    0.934400        0.992000              00:35     
70        0.071242    0.979768        0.999199              0.298919    0.927600        0.992600              00:34     
71        0.094750    0.971755        0.997396              0.393305    0.913600        0.991400              00:34     
72        0.089586    0.971354        0.997596              0.246387    0.941400        0.994000              00:35     
73        0.076982    0.978165        0.998798              0.225259    0.943600        0.995200              00:34     
74        0.069951    0.980369        0.998998              0.243946    0.940600        0.994600              00:34     
75        0.075113    0.973357        0.998998              0.291175    0.934400        0.992800              00:34     
76        0.095785    0.968550        0.997997              0.244140    0.943800        0.995200              00:34     
77        0.063578    0.981571        0.999800              0.323862    0.933400        0.992400              00:35     
78        0.083586    0.972155        0.998798              0.305301    0.927000        0.992600              00:34     
79        0.093649    0.972957        0.997196              0.283565    0.930200        0.993400              00:34     
80        0.073922    0.978966        0.998798              0.291960    0.937200        0.992800              00:35     
81        0.070748    0.979567        0.998798              0.264253    0.940200        0.994200              00:35     
82        0.076606    0.973558        0.998397              0.336526    0.924000        0.992400              00:34     
83        0.079761    0.975761        0.997596              0.280601    0.935200        0.992600              00:34     
84        0.083209    0.975160        0.998598              0.306058    0.931000        0.990800              00:34     
