epoch     train_loss  train_accuracy  train_top_k_accuracy  valid_loss  valid_accuracy  valid_top_k_accuracy  time    
0         1.557989    0.461138        0.737780              0.587128    0.831600        0.976600              00:14     
1         0.719680    0.824519        0.973958              0.390218    0.879400        0.989800              00:13     
2         0.459819    0.880208        0.986979              0.298344    0.906400        0.993200              00:13     
3         0.341614    0.907252        0.988782              0.300596    0.910200        0.988600              00:13     
4         0.300777    0.916066        0.991386              0.326247    0.903200        0.992400              00:13     
5         0.270549    0.924479        0.993389              0.312181    0.910000        0.992800              00:13     
6         0.228892    0.934696        0.995994              0.327411    0.907800        0.988400              00:12     
7         0.215643    0.940505        0.996194              0.234965    0.933800        0.994000              00:12     
8         0.219637    0.933694        0.991987              0.329846    0.901800        0.989400              00:13     
9         0.202111    0.946114        0.996394              0.289842    0.917600        0.991200              00:13     
10        0.184692    0.946114        0.994591              0.371722    0.906800        0.984600              00:13     
11        0.171551    0.945513        0.997196              0.334201    0.910800        0.989200              00:12     
12        0.158180    0.951522        0.996795              0.435535    0.900600        0.979800              00:13     
13        0.150427    0.954327        0.995994              0.297760    0.919400        0.992000              00:13     
14        0.161335    0.950721        0.996194              0.232462    0.932800        0.993600              00:12     
15        0.142872    0.957933        0.996995              0.300969    0.919000        0.989600              00:13     
16        0.150973    0.956931        0.997596              0.333830    0.913400        0.990400              00:14     
17        0.154314    0.955529        0.995593              0.328896    0.912800        0.990000              00:13     
18        0.132921    0.960537        0.996394              0.318701    0.912400        0.990800              00:13     
19        0.129413    0.959936        0.997796              0.265709    0.924400        0.991200              00:13     
20        0.138573    0.960136        0.997596              0.259257    0.931000        0.994600              00:12     
21        0.140740    0.961338        0.995593              0.323930    0.913800        0.992200              00:12     
22        0.128800    0.963942        0.997796              0.208877    0.941800        0.994600              00:13     
23        0.120887    0.965345        0.998197              0.289330    0.921600        0.994200              00:12     
24        0.121685    0.966947        0.996394              0.253549    0.931600        0.993000              00:13     
25        0.088339    0.975561        0.998798              0.294350    0.930600        0.990400              00:13     
26        0.125927    0.961538        0.996595              0.275656    0.923600        0.992400              00:12     
27        0.110611    0.968349        0.997596              0.261000    0.930400        0.992200              00:12     
28        0.107499    0.972756        0.997997              0.295316    0.921200        0.989800              00:13     
29        0.103146    0.970353        0.997796              0.269269    0.931200        0.993800              00:12     
30        0.117896    0.964944        0.997196              0.311619    0.918400        0.989800              00:13     
31        0.108559    0.967348        0.996995              0.277464    0.920400        0.990000              00:12     
32        0.097291    0.972155        0.998598              0.360422    0.913200        0.988800              00:12     
33        0.108268    0.968750        0.997796              0.254913    0.927400        0.993000              00:12     
34        0.106563    0.968750        0.997596              0.271391    0.926200        0.991400              00:13     
35        0.102454    0.973157        0.998197              0.284735    0.930800        0.992000              00:13     
36        0.096098    0.974760        0.997796              0.256794    0.930600        0.993400              00:13     
37        0.089350    0.972356        0.996995              0.220272    0.938800        0.993400              00:13     
38        0.090881    0.973157        0.998197              0.261811    0.926400        0.993200              00:12     
39        0.099783    0.971755        0.997196              0.209845    0.940800        0.994200              00:12     
40        0.092428    0.972356        0.997596              0.231183    0.941000        0.995000              00:13     
41        0.088795    0.972155        0.998598              0.239645    0.941200        0.994800              00:13     
42        0.077422    0.977564        0.998798              0.295080    0.930800        0.989600              00:12     
43        0.086378    0.975561        0.998197              0.264677    0.931800        0.992000              00:13     
44        0.068048    0.980369        0.999399              0.290873    0.930400        0.992000              00:12     
45        0.088517    0.973157        0.997796              0.230950    0.938000        0.992800              00:12     
46        0.083823    0.976562        0.998598              0.253333    0.933400        0.992400              00:12     
47        0.088921    0.973958        0.998598              0.262271    0.926400        0.989800              00:12     
48        0.077748    0.976162        0.998397              0.261416    0.932800        0.995400              00:13     
49        0.086672    0.976362        0.997396              0.264013    0.930200        0.993800              00:13     
50        0.081089    0.977564        0.998798              0.265275    0.931400        0.993000              00:13     
51        0.071825    0.977564        0.999199              0.320274    0.925000        0.989400              00:13     
52        0.082310    0.976362        0.998798              0.242734    0.932400        0.994600              00:13     
53        0.072214    0.978566        0.998197              0.341898    0.916800        0.988200              00:13     
54        0.083699    0.976362        0.997997              0.271470    0.929400        0.992200              00:13     
55        0.074149    0.978165        0.998798              0.267335    0.928600        0.993000              00:12     
56        0.084534    0.978165        0.997997              0.323112    0.920000        0.992200              00:13     
57        0.070314    0.977965        0.998998              0.324302    0.922800        0.990800              00:14     
58        0.077833    0.975962        0.998798              0.281468    0.929600        0.993800              00:13     
59        0.083105    0.978766        0.998197              0.276518    0.929600        0.995200              00:13     
60        0.072121    0.976763        0.998598              0.237251    0.936200        0.991200              00:12     
61        0.074183    0.978766        0.998598              0.291214    0.920000        0.993400              00:12     
62        0.072939    0.978766        0.998798              0.289767    0.928200        0.992600              00:12     
63        0.072978    0.980168        0.997997              0.260941    0.935800        0.993200              00:12     
64        0.079519    0.975561        0.999800              0.314503    0.916200        0.987800              00:12     
65        0.076594    0.978165        0.998998              0.271387    0.934200        0.991000              00:12     
66        0.068708    0.980369        0.997596              0.225482    0.941000        0.995200              00:12     
67        0.073269    0.978365        0.998197              0.262232    0.938800        0.993400              00:12     
68        0.071456    0.979567        0.998197              0.274712    0.932800        0.991000              00:12     
69        0.073071    0.980569        0.998598              0.236068    0.939400        0.992600              00:11     
70        0.065552    0.979768        0.998998              0.255136    0.934400        0.993400              00:12     
71        0.063664    0.980569        0.998197              0.223477    0.941000        0.994600              00:12     
72        0.064277    0.980369        0.999199              0.261775    0.938400        0.992000              00:12     
73        0.076131    0.979567        0.998998              0.297699    0.925800        0.993200              00:12     
74        0.066397    0.981170        0.998598              0.249879    0.942000        0.992600              00:12     
75        0.067104    0.980970        0.998598              0.232308    0.940400        0.993400              00:12     
76        0.066914    0.981571        0.998998              0.243337    0.937200        0.993200              00:12     
77        0.062986    0.984375        0.998197              0.250699    0.938400        0.992200              00:12     
78        0.068086    0.979968        0.998598              0.340726    0.919600        0.992000              00:12     
79        0.067138    0.980569        0.999199              0.294285    0.929200        0.989800              00:12     
80        0.065969    0.978766        0.998598              0.243769    0.936200        0.993000              00:12     
81        0.058296    0.983974        0.998798              0.271873    0.931000        0.991200              00:12     
82        0.060528    0.983373        0.998798              0.265806    0.934800        0.992800              00:12     
83        0.069127    0.980769        0.998197              0.258475    0.924600        0.994200              00:12     
84        0.068744    0.980769        0.998998              0.224400    0.937600        0.994800              00:12     
85        0.060613    0.983574        0.999800              0.258632    0.930600        0.992400              00:12     
86        0.064769    0.981170        0.998598              0.228953    0.938600        0.993800              00:12     
87        0.062179    0.984375        0.998397              0.235501    0.939000        0.993000              00:13     
88        0.054531    0.985577        0.998998              0.354414    0.918600        0.990400              00:12     
89        0.056148    0.983173        0.999199              0.280428    0.931400        0.993800              00:14     
90        0.056580    0.984776        0.998197              0.265031    0.932200        0.993200              00:12     
91        0.056934    0.985176        0.999399              0.252688    0.937400        0.993800              00:12     
92        0.059180    0.983774        0.998798              0.303831    0.928000        0.991800              00:12     
93        0.056707    0.981170        0.999599              0.253529    0.937000        0.993600              00:12     
94        0.046396    0.985978        0.998998              0.299708    0.925800        0.991000              00:12     
95        0.057649    0.981571        0.998598              0.329124    0.923200        0.991400              00:12     
96        0.070452    0.979167        0.998598              0.278487    0.935200        0.991000              00:12     
97        0.054583    0.985377        0.999599              0.256895    0.937400        0.993000              00:12     
98        0.061024    0.981170        0.999599              0.277985    0.924200        0.992400              00:12     
99        0.058524    0.983974        0.998598              0.293234    0.927400        0.991800              00:12     
100       0.065643    0.980769        0.998197              0.248124    0.932400        0.993400              00:12     
101       0.046878    0.986178        0.998598              0.281914    0.937000        0.994200              00:12     
102       0.056976    0.983774        0.998397              0.333050    0.922400        0.991400              00:12     
103       0.060096    0.984976        0.998197              0.261542    0.935000        0.992400              00:12     
104       0.052613    0.984575        0.999199              0.298363    0.929800        0.991200              00:12     
105       0.058033    0.983373        0.999199              0.276653    0.928200        0.990800              00:12     
106       0.054802    0.980970        0.999199              0.394167    0.909800        0.988600              00:13     
107       0.066417    0.981771        0.998197              0.286523    0.929400        0.990800              00:12     
