epoch     train_loss  train_accuracy  train_top_k_accuracy  valid_loss  valid_accuracy  valid_top_k_accuracy  time    
0         0.965078    0.678285        0.909856              0.658647    0.801400        0.967000              00:21     
1         0.682545    0.812300        0.978365              0.455480    0.864800        0.988400              00:18     
2         0.531101    0.846955        0.983373              0.382179    0.883600        0.989000              00:18     
3         0.459173    0.866587        0.984175              0.592522    0.844200        0.984200              00:18     
4         0.415310    0.877804        0.988381              0.442589    0.867400        0.985600              00:18     
5         0.384040    0.889623        0.989784              0.493960    0.866000        0.982200              00:18     
6         0.392394    0.891827        0.989583              0.914464    0.856400        0.981600              00:19     
7         0.336550    0.901442        0.991587              0.434244    0.865400        0.988200              00:19     
8         0.304163    0.909054        0.991587              0.370585    0.890800        0.985600              00:18     
9         0.292527    0.909655        0.991186              0.408484    0.890800        0.987800              00:18     
10        0.272568    0.921074        0.991587              0.376050    0.893000        0.991400              00:19     
11        0.267862    0.916667        0.993389              0.447995    0.886000        0.984400              00:18     
12        0.261045    0.922075        0.992588              0.336175    0.902600        0.992200              00:18     
13        0.236372    0.925280        0.992588              0.368438    0.895000        0.989400              00:18     
14        0.226673    0.933694        0.994191              0.571405    0.879200        0.988200              00:18     
15        0.229281    0.929688        0.992388              0.369895    0.898200        0.989600              00:18     
16        0.239370    0.929487        0.994191              0.410960    0.884000        0.988800              00:18     
17        0.216863    0.937901        0.994391              0.367784    0.900400        0.988400              00:19     
18        0.224299    0.934295        0.992588              0.416958    0.903800        0.985000              00:18     
19        0.217051    0.935497        0.993590              0.310172    0.916600        0.992800              00:18     
20        0.231135    0.930889        0.995393              0.339627    0.903200        0.988400              00:18     
21        0.201691    0.942308        0.995192              0.397674    0.898800        0.985200              00:19     
22        0.186939    0.949720        0.995393              0.354468    0.900000        0.991600              00:18     
23        0.194343    0.942308        0.993389              0.401353    0.903600        0.990600              00:18     
24        0.183312    0.946915        0.996595              0.350991    0.911000        0.992000              00:18     
25        0.166943    0.948918        0.995793              0.423178    0.895600        0.987400              00:18     
26        0.162830    0.946514        0.996795              0.335826    0.910400        0.991000              00:18     
27        0.169997    0.946915        0.995393              0.384386    0.905600        0.992600              00:19     
28        0.172296    0.945112        0.994591              0.463903    0.887400        0.989200              00:18     
29        0.168447    0.950120        0.995192              0.335320    0.916600        0.990400              00:19     
30        0.156351    0.952123        0.997196              0.304077    0.917400        0.993800              00:19     
31        0.179823    0.948718        0.994992              0.345390    0.913600        0.990000              00:19     
32        0.187310    0.945513        0.995793              0.422751    0.899200        0.987400              00:18     
