epoch     train_loss  train_accuracy  train_top_k_accuracy  valid_loss  valid_accuracy  valid_top_k_accuracy  time    
0         2.703188    0.167668        0.482372              2.282803    0.295400        0.679000              00:10     
1         1.989841    0.417668        0.794872              1.550402    0.530800        0.860600              00:09     
2         1.553239    0.539663        0.885216              1.333831    0.589800        0.903400              00:09     
3         1.285953    0.615184        0.914263              1.069379    0.677600        0.939800              00:09     
4         1.132926    0.660457        0.934896              1.066960    0.673200        0.939600              00:10     
5         1.009724    0.691907        0.950721              0.890962    0.723800        0.951600              00:09     
6         0.937972    0.709335        0.952724              0.885292    0.732400        0.945000              00:08     
7         0.874576    0.737380        0.963141              0.958293    0.699600        0.952200              00:09     
8         0.791517    0.751603        0.968550              0.821859    0.746200        0.955000              00:09     
9         0.777095    0.754207        0.968950              0.809456    0.748800        0.960400              00:09     
10        0.736048    0.767428        0.971755              0.755931    0.768400        0.962000              00:09     
11        0.712847    0.782051        0.974159              0.757960    0.771000        0.964200              00:09     
12        0.705470    0.775441        0.973758              0.740032    0.761600        0.968600              00:09     
13        0.648710    0.803886        0.979367              0.666910    0.789200        0.973000              00:08     
14        0.597741    0.816106        0.980970              0.743415    0.766600        0.967200              00:08     
15        0.588546    0.815505        0.976562              0.862701    0.736600        0.957000              00:08     
16        0.586487    0.819912        0.980168              0.751182    0.771000        0.969000              00:09     
17        0.566095    0.825521        0.982973              0.701208    0.781800        0.967600              00:09     
18        0.527748    0.844752        0.984175              0.728392    0.773600        0.973600              00:08     
19        0.496938    0.847556        0.983774              0.729112    0.785000        0.970800              00:09     
20        0.484628    0.850962        0.988582              0.714957    0.782200        0.966800              00:09     
21        0.475987    0.852965        0.988381              0.763283    0.769600        0.960000              00:09     
22        0.452074    0.859575        0.989183              0.741704    0.779600        0.967200              00:09     
23        0.461416    0.854167        0.989183              0.697446    0.796600        0.971800              00:09     
24        0.432280    0.863782        0.988782              0.644729    0.804400        0.973400              00:09     
25        0.412502    0.870192        0.990184              0.679906    0.797000        0.973400              00:09     
26        0.399211    0.870593        0.991787              0.648861    0.807200        0.975200              00:09     
27        0.411615    0.873197        0.990585              0.759085    0.776600        0.967600              00:08     
28        0.391585    0.880409        0.990785              0.630711    0.816600        0.973400              00:09     
29        0.362955    0.892628        0.991987              0.700990    0.801400        0.974400              00:09     
30        0.342164    0.891827        0.991987              0.700073    0.804400        0.971600              00:09     
31        0.359828    0.881410        0.990986              0.697077    0.796600        0.971000              00:09     
32        0.358206    0.889022        0.991386              0.631914    0.809200        0.973600              00:09     
33        0.353269    0.891426        0.991987              0.592753    0.823200        0.977800              00:09     
34        0.324221    0.899840        0.994391              0.722393    0.796400        0.969400              00:08     
35        0.357807    0.888421        0.989784              0.617681    0.811600        0.977400              00:08     
36        0.338457    0.900841        0.991587              0.588111    0.826600        0.976000              00:09     
37        0.320500    0.902644        0.991386              0.649123    0.812000        0.972400              00:09     
38        0.306320    0.908053        0.994391              0.608007    0.826400        0.975000              00:09     
39        0.294179    0.906050        0.994191              0.620319    0.821000        0.974400              00:09     
40        0.298795    0.908253        0.993990              0.604776    0.829400        0.976200              00:09     
41        0.292291    0.918269        0.992588              0.683983    0.800600        0.973800              00:09     
42        0.314117    0.901843        0.991787              0.753288    0.786200        0.973400              00:09     
43        0.296239    0.913061        0.994191              0.798523    0.788400        0.964000              00:10     
44        0.296817    0.907853        0.995192              0.674885    0.807800        0.971800              00:08     
45        0.275463    0.915665        0.993990              0.661711    0.811800        0.973600              00:08     
46        0.255714    0.918670        0.994992              0.753123    0.806400        0.973000              00:09     
47        0.251157    0.923277        0.996394              0.693197    0.802800        0.974000              00:09     
48        0.244756    0.921474        0.994792              0.647705    0.819600        0.978000              00:09     
49        0.241595    0.926883        0.995192              0.639245    0.820800        0.976200              00:09     
50        0.253110    0.923878        0.994792              0.672801    0.819600        0.969800              00:09     
51        0.248885    0.923478        0.994792              0.629878    0.827200        0.976800              00:09     
52        0.252862    0.925481        0.994191              0.739695    0.791600        0.961000              00:09     
53        0.255046    0.919671        0.995393              0.620128    0.826400        0.974000              00:09     
54        0.230539    0.930489        0.996595              0.718220    0.807000        0.964800              00:09     
55        0.233285    0.926683        0.995994              0.660868    0.823800        0.971000              00:09     
56        0.217447    0.932893        0.994992              0.686729    0.825600        0.972600              00:09     
57        0.236074    0.928886        0.995994              0.668669    0.809200        0.971200              00:09     
58        0.229705    0.928686        0.994792              0.738419    0.793400        0.968800              00:09     
59        0.231233    0.936298        0.995593              0.654275    0.819600        0.970400              00:08     
60        0.210386    0.930689        0.996394              0.742083    0.802400        0.970800              00:09     
61        0.220363    0.927885        0.996795              0.720878    0.811000        0.972800              00:09     
62        0.221816    0.932292        0.994792              0.616798    0.825600        0.975200              00:08     
63        0.227470    0.936498        0.996194              0.671524    0.816200        0.974600              00:09     
64        0.192906    0.939503        0.996394              0.692535    0.817200        0.976400              00:09     
65        0.200976    0.932692        0.996795              0.687774    0.823800        0.974400              00:09     
66        0.199336    0.937901        0.994191              0.696904    0.815000        0.971400              00:08     
67        0.204385    0.933494        0.996595              0.627284    0.830800        0.974000              00:09     
68        0.199810    0.939103        0.995593              0.664184    0.821800        0.976000              00:09     
69        0.208558    0.943910        0.995393              0.657115    0.820800        0.976400              00:09     
70        0.181318    0.948518        0.997596              0.639393    0.829400        0.976200              00:09     
71        0.183981    0.945112        0.995994              0.660822    0.815000        0.972400              00:09     
72        0.187272    0.941306        0.995994              0.674050    0.824000        0.972800              00:09     
73        0.182800    0.943710        0.995593              0.678577    0.807800        0.973400              00:08     
74        0.187092    0.946715        0.996795              0.705017    0.814000        0.968000              00:08     
75        0.181253    0.946314        0.995994              0.681056    0.820600        0.973000              00:09     
76        0.178408    0.945513        0.996795              0.642276    0.831000        0.975200              00:09     
77        0.183681    0.943109        0.997997              0.667797    0.814400        0.972800              00:09     
78        0.177152    0.949519        0.996995              0.753465    0.811000        0.969200              00:09     
79        0.178550    0.943910        0.997196              0.657669    0.821600        0.978000              00:08     
80        0.184180    0.946915        0.996995              0.658392    0.817200        0.973800              00:09     
81        0.203696    0.943510        0.994792              0.663186    0.825800        0.973000              00:08     
82        0.167780    0.952925        0.996795              0.775172    0.804200        0.968200              00:09     
83        0.168578    0.949119        0.996995              0.683844    0.823400        0.968400              00:09     
84        0.162343    0.950120        0.996995              0.660815    0.833600        0.976000              00:08     
85        0.162508    0.953726        0.995593              0.765182    0.799800        0.969600              00:09     
86        0.174957    0.950321        0.995994              0.756119    0.817800        0.971600              00:08     
87        0.188644    0.945913        0.995393              0.631347    0.830600        0.973600              00:08     
88        0.154706    0.955529        0.997196              0.665072    0.822600        0.973200              00:09     
89        0.165688    0.950921        0.997796              0.647125    0.823200        0.969400              00:08     
90        0.156758    0.957332        0.997596              0.780788    0.797800        0.970600              00:09     
91        0.140039    0.960737        0.996394              0.701159    0.816000        0.972800              00:09     
92        0.145137    0.957332        0.998397              0.656231    0.832200        0.973800              00:09     
93        0.145602    0.955128        0.997396              0.703180    0.816000        0.969800              00:09     
94        0.168733    0.949119        0.996995              0.726247    0.820000        0.972600              00:08     
95        0.170664    0.953526        0.997196              0.755765    0.805600        0.970400              00:08     
96        0.146989    0.955128        0.998197              0.672998    0.821000        0.972200              00:09     
97        0.147864    0.955529        0.996394              0.711830    0.816000        0.975000              00:08     
98        0.142756    0.954728        0.997997              0.757939    0.815400        0.970600              00:09     
99        0.141017    0.953125        0.997796              0.763953    0.812600        0.969600              00:09     
100       0.145436    0.955729        0.998798              0.688956    0.828800        0.974400              00:09     
101       0.153734    0.953926        0.997196              0.687513    0.824000        0.977000              00:09     
102       0.153708    0.953726        0.997596              0.679609    0.815200        0.973000              00:09     
103       0.147679    0.953926        0.997196              0.654788    0.830400        0.978400              00:09     
104       0.134752    0.961538        0.998397              0.710688    0.825400        0.976400              00:09     
105       0.143205    0.957131        0.996194              0.682761    0.826000        0.973400              00:09     
106       0.146575    0.956330        0.997196              0.671018    0.829800        0.974000              00:09     
107       0.148903    0.954928        0.997396              0.639107    0.827400        0.974400              00:09     
108       0.146162    0.958534        0.997596              0.748887    0.812800        0.971400              00:08     
109       0.138969    0.956530        0.997796              0.735151    0.809600        0.975000              00:08     
110       0.140258    0.958734        0.996995              0.747865    0.813800        0.969400              00:08     
111       0.138097    0.963942        0.997396              0.729295    0.810200        0.969600              00:08     
112       0.122408    0.959736        0.998598              0.755749    0.817200        0.974200              00:09     
113       0.133699    0.958734        0.997997              0.744046    0.816000        0.970000              00:08     
114       0.130290    0.959135        0.997796              0.733785    0.824200        0.969400              00:09     
115       0.130889    0.960737        0.997196              0.743101    0.810600        0.971200              00:09     
116       0.140862    0.957532        0.997596              0.752165    0.812400        0.968400              00:08     
117       0.139225    0.959936        0.997596              0.690049    0.825400        0.971000              00:08     
118       0.134824    0.959936        0.997997              0.662507    0.827400        0.977200              00:09     
119       0.106606    0.969351        0.997997              0.784875    0.812800        0.969600              00:09     
120       0.138068    0.954327        0.997796              0.629757    0.831400        0.973200              00:09     
121       0.127242    0.965345        0.998397              0.678736    0.828800        0.973800              00:10     
122       0.124499    0.964543        0.997196              0.729846    0.812000        0.970200              00:09     
123       0.125064    0.962740        0.997796              0.763211    0.813200        0.972200              00:08     
124       0.120277    0.965946        0.996995              0.708084    0.822600        0.974000              00:09     
125       0.114446    0.963942        0.998197              0.775219    0.801600        0.971800              00:08     
126       0.126025    0.962139        0.995994              0.678478    0.824200        0.971400              00:09     
127       0.133410    0.961538        0.997596              0.682856    0.828600        0.972200              00:09     
128       0.136779    0.959535        0.997796              0.766994    0.808000        0.968200              00:08     
129       0.125427    0.964143        0.997196              0.757465    0.804000        0.970800              00:09     
130       0.122573    0.965745        0.998397              0.795026    0.807600        0.967000              00:08     
131       0.112162    0.965545        0.997596              0.725668    0.821000        0.973600              00:08     
132       0.106943    0.972957        0.997796              0.761941    0.811200        0.971000              00:09     
133       0.118155    0.966747        0.997396              0.821952    0.807800        0.966200              00:09     
134       0.113287    0.961939        0.998397              0.665563    0.831800        0.973200              00:09     
135       0.118803    0.964143        0.998998              0.704897    0.830200        0.972400              00:09     
136       0.121660    0.964143        0.997196              0.828788    0.804000        0.966400              00:09     
137       0.116264    0.965144        0.998598              0.796504    0.805800        0.966800              00:09     
138       0.126619    0.961138        0.996795              0.735580    0.816600        0.969600              00:09     
139       0.118229    0.963742        0.997796              0.666010    0.826600        0.971600              00:09     
140       0.122600    0.966747        0.996795              0.623910    0.829800        0.973600              00:10     
141       0.099976    0.970152        0.998197              0.727977    0.833200        0.971200              00:10     
142       0.122378    0.964944        0.997596              0.722480    0.813600        0.973200              00:09     
143       0.114552    0.965345        0.997396              0.843937    0.795200        0.960600              00:09     
144       0.114912    0.966947        0.997796              0.739825    0.819200        0.969200              00:09     
