epoch     train_loss  train_accuracy  train_top_k_accuracy  valid_loss  valid_accuracy  valid_top_k_accuracy  time    
0         2.105236    0.309896        0.639022              1.320510    0.579800        0.914200              00:10     
1         1.304997    0.637420        0.916867              0.862718    0.734800        0.954800              00:09     
2         0.969730    0.728766        0.955128              0.794181    0.758200        0.957600              00:08     
3         0.833022    0.762019        0.961939              0.627413    0.803200        0.975600              00:08     
4         0.712600    0.787660        0.971154              0.503884    0.840400        0.981800              00:09     
5         0.620291    0.815505        0.978365              0.620177    0.809600        0.970800              00:08     
6         0.607749    0.814303        0.974359              0.526913    0.837800        0.979400              00:08     
7         0.541797    0.834936        0.980769              0.499890    0.847200        0.982600              00:09     
8         0.510584    0.852564        0.982772              0.542356    0.837000        0.976800              00:09     
9         0.517527    0.830929        0.982171              0.445887    0.865600        0.984800              00:10     
10        0.489087    0.856370        0.985978              0.655637    0.799600        0.973400              00:09     
11        0.493764    0.859575        0.982372              0.635258    0.806400        0.973000              00:09     
12        0.462927    0.857171        0.981571              0.438153    0.866800        0.985000              00:08     
13        0.411368    0.876002        0.986779              0.512083    0.843400        0.980400              00:09     
14        0.437230    0.862580        0.985577              0.568425    0.828400        0.975400              00:09     
15        0.422225    0.869992        0.989784              0.474736    0.859200        0.982600              00:09     
16        0.400879    0.878205        0.988381              0.458913    0.858000        0.984600              00:09     
17        0.408090    0.880609        0.987981              0.528601    0.835400        0.980400              00:09     
18        0.379996    0.888421        0.989583              0.448074    0.865000        0.982000              00:08     
19        0.368309    0.893630        0.991587              0.547569    0.840000        0.981000              00:08     
20        0.349124    0.895433        0.990986              0.535515    0.843800        0.981400              00:09     
21        0.326853    0.900441        0.990184              0.494256    0.857000        0.982800              00:09     
22        0.358109    0.879407        0.987179              0.449922    0.869600        0.985600              00:09     
23        0.341972    0.898438        0.989383              0.427872    0.871800        0.988800              00:09     
24        0.340960    0.892428        0.991987              0.461354    0.859400        0.984200              00:08     
25        0.323428    0.902444        0.990986              0.474218    0.870000        0.985000              00:08     
26        0.311715    0.900240        0.993389              0.475497    0.861400        0.985800              00:08     
27        0.330981    0.892829        0.993189              0.505418    0.857400        0.981400              00:09     
28        0.292949    0.912059        0.993389              0.444307    0.869800        0.987000              00:10     
29        0.289018    0.910457        0.992989              0.515951    0.854000        0.981400              00:10     
30        0.307838    0.900641        0.992788              0.436900    0.876400        0.985400              00:08     
31        0.275532    0.916466        0.992188              0.470865    0.865400        0.985000              00:09     
32        0.276630    0.915465        0.992388              0.434780    0.879200        0.988000              00:09     
33        0.257020    0.921675        0.995994              0.503009    0.859600        0.982600              00:09     
34        0.279412    0.913462        0.991987              0.518868    0.854600        0.984400              00:09     
35        0.310836    0.915064        0.992788              0.540835    0.839000        0.976200              00:08     
36        0.281768    0.912260        0.993790              0.437021    0.874800        0.986200              00:09     
37        0.265773    0.916867        0.993790              0.391483    0.882000        0.988800              00:08     
38        0.259109    0.923478        0.993189              0.475964    0.873000        0.982400              00:08     
39        0.253223    0.924479        0.994191              0.459392    0.869600        0.989600              00:08     
40        0.268312    0.917468        0.993990              0.508598    0.860200        0.983400              00:09     
41        0.257958    0.920072        0.994591              0.517962    0.843200        0.982800              00:09     
42        0.241738    0.927284        0.992188              0.423012    0.878800        0.985400              00:08     
43        0.235176    0.932091        0.994391              0.510478    0.856600        0.980400              00:09     
44        0.255439    0.918870        0.993590              0.486774    0.865600        0.984800              00:08     
45        0.228703    0.936498        0.994992              0.479920    0.865600        0.980600              00:08     
46        0.246978    0.925481        0.993189              0.398449    0.880600        0.988200              00:09     
47        0.219416    0.935296        0.995593              0.413806    0.881800        0.987600              00:08     
48        0.239295    0.928085        0.994191              0.607745    0.835200        0.980600              00:10     
49        0.246350    0.927885        0.994391              0.458076    0.866400        0.982800              00:09     
50        0.232296    0.929688        0.995393              0.651893    0.837000        0.981000              00:09     
51        0.230215    0.926082        0.994792              0.427882    0.871400        0.988400              00:09     
52        0.214752    0.936498        0.996995              0.431532    0.876000        0.988600              00:09     
53        0.203018    0.935897        0.995192              0.465219    0.874000        0.984000              00:09     
54        0.207339    0.936699        0.994591              0.468224    0.863000        0.984800              00:10     
55        0.217342    0.933694        0.993790              0.477664    0.869800        0.985800              00:09     
56        0.209844    0.942909        0.994992              0.444767    0.872600        0.987800              00:10     
57        0.207748    0.937300        0.995393              0.473987    0.870800        0.985200              00:09     
58        0.192501    0.940505        0.994391              0.457523    0.875400        0.986400              00:09     
59        0.209994    0.939904        0.994992              0.416762    0.884000        0.987400              00:10     
60        0.196896    0.943309        0.996194              0.494075    0.871000        0.985000              00:10     
61        0.195558    0.943910        0.995793              0.467295    0.874000        0.983600              00:10     
62        0.183214    0.946915        0.995593              0.468015    0.868000        0.984400              00:10     
63        0.216082    0.934495        0.993790              0.402393    0.888200        0.987600              00:10     
64        0.181055    0.946715        0.996595              0.526795    0.870600        0.983400              00:09     
65        0.202853    0.938301        0.995793              0.514782    0.862000        0.983600              00:09     
66        0.169116    0.949720        0.995192              0.451029    0.881200        0.988800              00:10     
67        0.189368    0.945913        0.994191              0.480504    0.866400        0.983800              00:11     
68        0.193969    0.940705        0.993590              0.453970    0.880200        0.982800              00:09     
69        0.208626    0.940104        0.995393              0.500809    0.872000        0.983600              00:09     
70        0.184916    0.945913        0.995793              0.536134    0.858000        0.981000              00:08     
71        0.196350    0.941907        0.994992              0.508590    0.867800        0.983200              00:10     
72        0.164691    0.953726        0.996394              0.455346    0.874600        0.987600              00:10     
73        0.187348    0.940304        0.996394              0.481709    0.865000        0.984800              00:09     
74        0.175301    0.950521        0.995994              0.478476    0.873600        0.983200              00:09     
75        0.178574    0.946915        0.995192              0.496349    0.865200        0.983600              00:09     
76        0.169991    0.949519        0.996995              0.408859    0.886400        0.988600              00:09     
77        0.172942    0.950921        0.996194              0.442811    0.874600        0.986600              00:10     
78        0.175390    0.945312        0.996995              0.480784    0.871400        0.983800              00:10     
79        0.168021    0.953926        0.995593              0.454866    0.873400        0.987200              00:09     
80        0.167339    0.949119        0.996595              0.432182    0.885800        0.986200              00:09     
81        0.180512    0.946114        0.995994              0.471650    0.878600        0.986400              00:09     
82        0.166561    0.950721        0.997596              0.463129    0.884800        0.983800              00:08     
83        0.167110    0.951122        0.995393              0.462942    0.873800        0.986600              00:10     
84        0.162250    0.953125        0.995793              0.518617    0.866000        0.982400              00:09     
85        0.157145    0.952524        0.996194              0.474784    0.877000        0.982600              00:09     
86        0.154232    0.953926        0.997997              0.488799    0.871600        0.981000              00:09     
87        0.160201    0.947516        0.996995              0.480296    0.873200        0.982600              00:10     
88        0.164321    0.951723        0.997396              0.505214    0.860600        0.981200              00:09     
89        0.166020    0.954127        0.996595              0.532941    0.858200        0.980600              00:10     
90        0.160583    0.953325        0.997596              0.502324    0.860000        0.983200              00:10     
91        0.156086    0.951923        0.997396              0.528891    0.862200        0.984600              00:09     
92        0.161390    0.949720        0.996995              0.423625    0.886400        0.984400              00:10     
93        0.150435    0.957732        0.996795              0.460190    0.878200        0.984600              00:09     
94        0.143639    0.956530        0.996595              0.441946    0.883800        0.986800              00:10     
95        0.158772    0.953526        0.995593              0.413179    0.886800        0.986400              00:10     
96        0.150434    0.952724        0.996394              0.403890    0.882000        0.985000              00:10     
97        0.164094    0.951723        0.995393              0.434657    0.875400        0.984600              00:09     
98        0.138804    0.958333        0.997396              0.519630    0.868000        0.983800              00:10     
99        0.151595    0.953726        0.996795              0.443048    0.877800        0.986000              00:09     
100       0.144416    0.954728        0.997396              0.424422    0.885400        0.987200              00:10     
101       0.149436    0.959335        0.996995              0.531513    0.861600        0.983400              00:09     
102       0.143828    0.953325        0.996194              0.479907    0.877600        0.985200              00:09     
103       0.158097    0.952123        0.996595              0.479571    0.874400        0.984200              00:10     
104       0.147560    0.954127        0.996394              0.509234    0.868400        0.984000              00:10     
105       0.136032    0.959736        0.995593              0.532782    0.865800        0.980400              00:11     
106       0.139455    0.957532        0.996995              0.528719    0.865600        0.988200              00:10     
107       0.141471    0.957933        0.996595              0.470432    0.869200        0.986400              00:10     
