epoch     train_loss  train_accuracy  train_top_k_accuracy  valid_loss  valid_accuracy  valid_top_k_accuracy  time    
0         1.739880    0.508840        0.765419              0.454569    0.860800        0.984600              00:11     
1         0.973765    0.864104        0.984786              0.239707    0.929600        0.996000              00:09     
2         0.655260    0.913240        0.992188              0.264568    0.919600        0.995400              00:09     
3         0.499256    0.918174        0.993832              0.301635    0.903800        0.993800              00:09     
4         0.398025    0.930715        0.995271              0.222854    0.934000        0.995800              00:09     
5         0.335650    0.932155        0.995888              0.216214    0.933000        0.995200              00:09     
6         0.301394    0.929893        0.994038              0.194082    0.940000        0.996000              00:09     
7         0.274057    0.934416        0.996505              0.263740    0.918600        0.995000              00:09     
8         0.246131    0.944696        0.997327              0.188326    0.940000        0.997400              00:09     
9         0.226110    0.943873        0.995271              0.200503    0.942000        0.995400              00:09     
10        0.211780    0.946340        0.996094              0.254695    0.927600        0.994800              00:09     
11        0.204116    0.944285        0.995271              0.214535    0.933600        0.995600              00:09     
12        0.201280    0.943668        0.994449              0.231739    0.932600        0.992600              00:09     
13        0.193205    0.947985        0.997738              0.252143    0.928800        0.993800              00:09     
14        0.191238    0.944901        0.994449              0.248808    0.932800        0.993200              00:09     
15        0.182187    0.947780        0.997122              0.260754    0.924000        0.993600              00:09     
16        0.178539    0.946135        0.996505              0.181575    0.950400        0.994800              00:09     
17        0.172252    0.954153        0.996916              0.208432    0.940800        0.997000              00:09     
18        0.169428    0.950658        0.995683              0.231169    0.936600        0.995400              00:09     
19        0.166387    0.950863        0.996916              0.266375    0.924200        0.994600              00:09     
20        0.155252    0.961143        0.997122              0.258508    0.928200        0.995800              00:09     
21        0.157812    0.955592        0.997122              0.241126    0.929600        0.994600              00:09     
22        0.148804    0.960938        0.998150              0.259923    0.933800        0.993400              00:09     
23        0.151078    0.952714        0.997738              0.322785    0.907200        0.989200              00:09     
24        0.161051    0.943668        0.995477              0.278012    0.919000        0.992000              00:09     
25        0.155029    0.958059        0.996299              0.253041    0.934000        0.993000              00:09     
26        0.150365    0.953947        0.997327              0.193579    0.941200        0.994600              00:09     
27        0.143391    0.960938        0.997738              0.265920    0.928200        0.996400              00:09     
28        0.142793    0.955798        0.996916              0.272085    0.921000        0.994400              00:09     
29        0.146258    0.956209        0.996711              0.209041    0.942400        0.994600              00:09     
30        0.140833    0.963610        0.995888              0.193015    0.945400        0.996600              00:09     
31        0.136270    0.961760        0.997944              0.270129    0.928200        0.993600              00:09     
32        0.134458    0.965666        0.996916              0.236990    0.936600        0.994400              00:09     
33        0.135524    0.959293        0.997944              0.228704    0.931800        0.994600              00:09     
34        0.134226    0.960938        0.998561              0.202917    0.943600        0.994000              00:09     
35        0.136519    0.959293        0.995888              0.212504    0.939800        0.994200              00:09     
36        0.144233    0.955592        0.996505              0.273081    0.920800        0.994800              00:09     
37        0.147236    0.955592        0.996094              0.253194    0.927200        0.994000              00:09     
38        0.150363    0.960321        0.996094              0.207531    0.938200        0.994200              00:09     
39        0.140933    0.966488        0.997122              0.238659    0.937600        0.993800              00:09     
40        0.136207    0.963199        0.996094              0.236506    0.933400        0.993000              00:09     
41        0.134082    0.960732        0.997738              0.267740    0.926400        0.994200              00:09     
42        0.140334    0.956003        0.996916              0.247281    0.934800        0.994200              00:09     
43        0.134302    0.965461        0.997327              0.229158    0.942400        0.993000              00:09     
44        0.133213    0.961349        0.995888              0.287252    0.931600        0.991000              00:09     
45        0.136830    0.958882        0.996711              0.268896    0.928400        0.994000              00:09     
46        0.132471    0.964844        0.998150              0.309054    0.921200        0.991800              00:09     
47        0.134861    0.961143        0.996916              0.218152    0.937600        0.994600              00:09     
48        0.124196    0.969161        0.998150              0.225922    0.943000        0.994400              00:09     
