epoch     train_loss  train_accuracy  train_top_k_accuracy  valid_loss  valid_accuracy  valid_top_k_accuracy  time    
0         3.275600    0.055489        0.246995              2.964500    0.106000        0.434400              00:22     
1         2.751085    0.169071        0.553085              2.435014    0.226200        0.662600              00:20     
2         2.544234    0.225761        0.637220              2.330134    0.294000        0.695000              00:20     
3         2.290403    0.303486        0.718349              2.038511    0.361600        0.771600              00:20     
4         1.999795    0.391026        0.791266              1.810337    0.440200        0.822600              00:20     
5         1.795126    0.449119        0.824720              1.768380    0.472400        0.808800              00:20     
6         1.624404    0.498397        0.862380              1.463811    0.553200        0.878000              00:20     
7         1.489775    0.535056        0.894431              1.346763    0.576800        0.899400              00:20     
8         1.376391    0.576122        0.908454              1.262161    0.607600        0.917200              00:20     
9         1.269696    0.607572        0.910056              1.138946    0.638600        0.927200              00:20     
10        1.202286    0.625801        0.930489              1.129421    0.642200        0.929000              00:20     
11        1.108270    0.653245        0.936098              0.979612    0.692600        0.946000              00:21     
12        1.034310    0.677284        0.944111              1.029184    0.682600        0.941800              00:20     
13        0.954488    0.705128        0.949119              0.849596    0.738600        0.958000              00:20     
14        0.918860    0.713141        0.957933              1.056242    0.679200        0.934400              00:20     
15        0.878821    0.730769        0.955729              0.873943    0.734000        0.954600              00:21     
16        0.826250    0.738582        0.963742              0.868141    0.733400        0.954400              00:20     
17        0.806574    0.749199        0.963742              0.819195    0.742000        0.962400              00:20     
18        0.781111    0.762420        0.970753              0.836957    0.737200        0.957600              00:20     
19        0.774048    0.760417        0.963341              0.705396    0.783000        0.969400              00:20     
20        0.736391    0.771635        0.968950              0.744533    0.770400        0.963800              00:21     
21        0.705708    0.783454        0.969952              0.753520    0.761000        0.970000              00:20     
22        0.655458    0.802083        0.973958              0.654379    0.799800        0.973200              00:20     
23        0.658255    0.803486        0.972556              0.690615    0.784200        0.969400              00:20     
24        0.656079    0.791266        0.974559              0.625169    0.797800        0.976000              00:20     
25        0.620579    0.808894        0.977965              0.658453    0.795800        0.974200              00:20     
26        0.613766    0.805889        0.978365              0.631420    0.804000        0.976000              00:21     
27        0.615430    0.806090        0.979567              0.648933    0.802600        0.972200              00:21     
28        0.565782    0.825921        0.983173              0.682632    0.792400        0.970000              00:21     
29        0.568680    0.826923        0.978966              0.646220    0.797000        0.978800              00:20     
30        0.520023    0.841146        0.982372              0.673424    0.793200        0.971600              00:20     
31        0.503262    0.840345        0.982572              0.646012    0.805200        0.971200              00:20     
32        0.526874    0.835337        0.984776              0.580732    0.822400        0.975600              00:20     
33        0.532649    0.836138        0.983574              0.696949    0.787000        0.970200              00:21     
34        0.499262    0.847155        0.985777              0.669336    0.799200        0.976400              00:20     
35        0.474060    0.848758        0.987981              0.579545    0.822400        0.979200              00:20     
36        0.475587    0.849559        0.984375              0.603877    0.815800        0.976200              00:21     
37        0.454811    0.859776        0.986579              0.596997    0.828400        0.977800              00:20     
38        0.455153    0.857572        0.987380              0.560862    0.822800        0.981600              00:20     
39        0.424882    0.869391        0.988582              0.585606    0.819200        0.980400              00:21     
40        0.427868    0.864784        0.987981              0.534739    0.835800        0.981600              00:20     
41        0.430875    0.864583        0.986378              0.527395    0.834800        0.979000              00:20     
42        0.423287    0.866987        0.987179              0.540254    0.833600        0.980800              00:20     
43        0.407625    0.877003        0.985978              0.566272    0.829000        0.975800              00:20     
44        0.412463    0.871394        0.986779              0.480553    0.855800        0.981400              00:20     
45        0.393649    0.879207        0.986178              0.551546    0.831800        0.979000              00:20     
46        0.426202    0.869992        0.988582              0.554661    0.835800        0.978200              00:20     
47        0.382256    0.882612        0.989383              0.593539    0.831000        0.979400              00:20     
48        0.404074    0.868990        0.989583              0.544422    0.834800        0.979800              00:20     
49        0.371261    0.884816        0.988782              0.572058    0.836600        0.976800              00:20     
50        0.368109    0.881811        0.990986              0.524090    0.849800        0.979800              00:21     
51        0.364659    0.889824        0.989784              0.620802    0.822000        0.979000              00:20     
52        0.333837    0.900641        0.991186              0.587831    0.828600        0.977400              00:20     
53        0.344489    0.894832        0.990986              0.587099    0.829800        0.978600              00:21     
54        0.362878    0.883013        0.991987              0.570952    0.838200        0.977600              00:21     
55        0.354291    0.894431        0.986979              0.558310    0.837200        0.978200              00:20     
56        0.341982    0.895833        0.991386              0.688033    0.809200        0.974000              00:21     
57        0.348391    0.893429        0.992989              0.576839    0.832000        0.981200              00:20     
58        0.303457    0.905849        0.992989              0.562294    0.837800        0.982600              00:20     
59        0.326038    0.897236        0.991386              0.566053    0.844800        0.981000              00:21     
60        0.327823    0.894431        0.989784              0.560337    0.840000        0.981000              00:21     
61        0.297898    0.911659        0.993990              0.632756    0.829200        0.978200              00:21     
62        0.308062    0.906851        0.990785              0.516137    0.852400        0.982200              00:20     
63        0.310193    0.908854        0.989583              0.599761    0.835200        0.972400              00:20     
64        0.301321    0.905849        0.992388              0.636279    0.834400        0.973800              00:20     
65        0.287755    0.909856        0.991386              0.585820    0.840200        0.978400              00:21     
66        0.289850    0.911659        0.992588              0.575566    0.843000        0.976200              00:21     
67        0.308372    0.907452        0.991587              0.556958    0.838600        0.978600              00:21     
68        0.319409    0.904247        0.992388              0.586594    0.840800        0.977600              00:20     
69        0.291866    0.913462        0.991787              0.585689    0.832200        0.982000              00:20     
70        0.261218    0.920473        0.993990              0.506931    0.857000        0.981000              00:20     
71        0.271555    0.922276        0.991987              0.549845    0.848600        0.981000              00:20     
72        0.292395    0.911458        0.992388              0.472680    0.866800        0.979000              00:20     
73        0.268989    0.921875        0.993990              0.542137    0.855800        0.980800              00:20     
74        0.270275    0.912660        0.995593              0.590191    0.846600        0.977400              00:20     
75        0.265208    0.919071        0.992588              0.509930    0.855200        0.982000              00:20     
76        0.255889    0.920873        0.993189              0.495700    0.865000        0.982600              00:21     
77        0.248757    0.922075        0.994992              0.698220    0.825200        0.972000              00:20     
78        0.261644    0.917268        0.992989              0.526040    0.858800        0.981200              00:20     
79        0.270283    0.918870        0.993590              0.505292    0.852400        0.983600              00:20     
80        0.255717    0.921274        0.993389              0.549155    0.852400        0.980400              00:20     
81        0.271372    0.920473        0.995192              0.511491    0.853800        0.982400              00:20     
82        0.236904    0.930088        0.993389              0.603814    0.848400        0.978600              00:20     
83        0.259679    0.918670        0.995393              0.576619    0.842200        0.981000              00:21     
84        0.225280    0.932091        0.994191              0.609638    0.835000        0.979600              00:20     
85        0.231306    0.928886        0.994591              0.526533    0.860000        0.983600              00:20     
86        0.243490    0.918470        0.994391              0.490461    0.868600        0.983400              00:21     
87        0.240549    0.926683        0.994191              0.541649    0.859000        0.980000              00:21     
88        0.240537    0.929487        0.995593              0.559165    0.851200        0.978200              00:21     
89        0.239173    0.930889        0.994992              0.639828    0.834000        0.974400              00:21     
90        0.239332    0.927885        0.995593              0.496995    0.867000        0.981200              00:21     
91        0.209809    0.933894        0.996995              0.500330    0.865800        0.982600              00:20     
92        0.224288    0.928886        0.995192              0.480376    0.865200        0.981200              00:20     
93        0.220213    0.932893        0.995192              0.451292    0.873400        0.983400              00:21     
94        0.205641    0.935897        0.996194              0.493741    0.866400        0.981600              00:21     
95        0.208904    0.934295        0.992788              0.525485    0.863600        0.979400              00:20     
96        0.225162    0.933694        0.995593              0.532880    0.854200        0.982400              00:21     
97        0.232587    0.928285        0.995793              0.568018    0.847600        0.978200              00:21     
98        0.222163    0.933894        0.994792              0.595297    0.845800        0.979800              00:20     
99        0.235818    0.928085        0.993990              0.512265    0.857200        0.983600              00:20     
100       0.203664    0.939904        0.996595              0.585355    0.842800        0.981800              00:20     
101       0.196880    0.940104        0.994792              0.590793    0.843600        0.979800              00:21     
102       0.196547    0.942708        0.995593              0.565350    0.854800        0.983800              00:21     
103       0.183187    0.940905        0.995793              0.553250    0.863200        0.982400              00:21     
104       0.200994    0.935897        0.995192              0.537350    0.857000        0.980800              00:21     
105       0.206700    0.935296        0.996194              0.521388    0.861800        0.980800              00:21     
106       0.205594    0.936699        0.995994              0.585637    0.852600        0.980600              00:20     
107       0.199213    0.937700        0.995994              0.617145    0.847400        0.983600              00:20     
108       0.192142    0.941306        0.994792              0.634060    0.844200        0.976200              00:20     
109       0.212291    0.938301        0.994792              0.538931    0.856400        0.981400              00:20     
110       0.201065    0.942508        0.995793              0.502851    0.868400        0.982000              00:21     
111       0.180822    0.948518        0.995994              0.504521    0.863200        0.983800              00:20     
112       0.190379    0.942508        0.995393              0.515425    0.866400        0.980200              00:21     
113       0.178836    0.943309        0.997997              0.685694    0.842600        0.977200              00:20     
114       0.206049    0.931290        0.994191              0.518252    0.859000        0.983400              00:20     
115       0.185374    0.942107        0.995192              0.481689    0.871800        0.984800              00:20     
116       0.190354    0.943309        0.995793              0.598910    0.847400        0.982200              00:20     
117       0.205400    0.936498        0.994992              0.627841    0.837400        0.977400              00:20     
118       0.183618    0.944912        0.997196              0.551170    0.856600        0.986000              00:20     
119       0.182105    0.939704        0.997396              0.479860    0.869000        0.985000              00:20     
120       0.178416    0.947316        0.995593              0.493050    0.870600        0.982200              00:20     
121       0.193288    0.939904        0.995393              0.486977    0.872600        0.982200              00:20     
122       0.177391    0.947316        0.997196              0.594941    0.850800        0.974800              00:21     
123       0.164422    0.951122        0.994992              0.511267    0.865800        0.981000              00:20     
124       0.171302    0.948117        0.995593              0.541810    0.870400        0.981200              00:20     
125       0.182662    0.941106        0.996394              0.568848    0.852600        0.982400              00:20     
126       0.176267    0.944311        0.996595              0.503044    0.867000        0.983800              00:20     
127       0.163764    0.951723        0.997596              0.553114    0.862400        0.983400              00:20     
128       0.162710    0.946715        0.996595              0.650002    0.846400        0.978000              00:20     
129       0.155818    0.948518        0.998197              0.538802    0.870600        0.983600              00:21     
130       0.155628    0.949720        0.997196              0.521055    0.872400        0.984200              00:21     
131       0.181818    0.945312        0.997196              0.595675    0.842000        0.978600              00:20     
132       0.163851    0.950321        0.997196              0.580708    0.858600        0.980200              00:21     
133       0.164339    0.947716        0.996795              0.596306    0.850600        0.977800              00:20     
134       0.153933    0.957131        0.996795              0.534090    0.869400        0.981000              00:20     
135       0.175461    0.949720        0.995793              0.525907    0.864000        0.980200              00:21     
