epoch     train_loss  train_accuracy  train_top_k_accuracy  valid_loss  valid_accuracy  valid_top_k_accuracy  time    
0         3.221042    0.060296        0.297676              3.035097    0.097200        0.366600              00:17     
1         2.906986    0.113782        0.440505              2.622769    0.163000        0.572200              00:15     
2         2.595806    0.186098        0.583333              2.369129    0.236400        0.668800              00:15     
3         2.276743    0.286659        0.728566              2.038771    0.346200        0.762200              00:15     
4         1.959697    0.383614        0.791867              1.853743    0.414400        0.796000              00:15     
5         1.727625    0.472556        0.838542              1.305228    0.602400        0.902200              00:15     
6         1.491338    0.546474        0.890625              1.294796    0.600600        0.904800              00:16     
7         1.338751    0.588542        0.904848              1.117892    0.645000        0.934000              00:15     
8         1.261137    0.625000        0.920272              1.212524    0.624600        0.907800              00:15     
9         1.160977    0.644832        0.925280              0.930632    0.718200        0.943000              00:15     
10        1.025117    0.685296        0.944111              0.904548    0.711200        0.953000              00:15     
11        0.997820    0.684896        0.944712              0.855038    0.723400        0.956800              00:15     
12        0.932906    0.717949        0.951522              0.837129    0.745000        0.952000              00:15     
13        0.860342    0.734375        0.961338              0.830681    0.733000        0.961600              00:15     
14        0.833645    0.731771        0.959936              0.749165    0.773200        0.966800              00:15     
15        0.754551    0.771835        0.963742              0.723760    0.770000        0.969400              00:15     
16        0.726137    0.776442        0.967748              0.713805    0.787000        0.961000              00:15     
17        0.709490    0.775841        0.969752              0.726567    0.782400        0.967600              00:15     
18        0.692614    0.797676        0.968550              0.775569    0.768000        0.963800              00:15     
19        0.642461    0.805689        0.975361              0.728184    0.782400        0.969600              00:15     
20        0.647135    0.795272        0.971554              0.647597    0.801600        0.975000              00:15     
21        0.599018    0.820312        0.976362              0.561046    0.826600        0.978600              00:15     
22        0.597696    0.820112        0.976162              0.698730    0.794800        0.973400              00:15     
23        0.579746    0.828325        0.976963              0.560724    0.830400        0.979800              00:15     
24        0.546003    0.830929        0.980569              0.572080    0.830600        0.977200              00:15     
25        0.525645    0.840545        0.978165              0.492450    0.847600        0.983600              00:15     
26        0.510360    0.841947        0.984375              0.534412    0.843200        0.977200              00:15     
27        0.477450    0.851963        0.983974              0.513469    0.848600        0.981600              00:15     
28        0.476461    0.857372        0.983173              0.508628    0.846600        0.983800              00:15     
29        0.458020    0.860577        0.983774              0.538182    0.835800        0.981000              00:15     
30        0.457056    0.856971        0.986378              0.484289    0.852400        0.981000              00:15     
31        0.456723    0.867788        0.985176              0.598473    0.820400        0.977200              00:15     
32        0.441733    0.868389        0.988982              0.418288    0.870000        0.986800              00:15     
33        0.470975    0.857572        0.984776              0.630599    0.813200        0.972200              00:15     
34        0.437824    0.871595        0.985577              0.565619    0.830400        0.976800              00:15     
35        0.416544    0.870994        0.983974              0.463770    0.858000        0.985200              00:15     
36        0.426069    0.872796        0.986579              0.493160    0.845400        0.981600              00:15     
37        0.387955    0.886418        0.987580              0.410354    0.874600        0.984800              00:15     
38        0.389650    0.889022        0.985176              0.509430    0.849800        0.978800              00:15     
39        0.365541    0.894832        0.988381              0.487286    0.858400        0.981600              00:15     
40        0.361347    0.887220        0.990385              0.491719    0.851000        0.984600              00:16     
41        0.334691    0.897236        0.991186              0.422374    0.873200        0.985600              00:17     
42        0.361114    0.895833        0.986378              0.492976    0.851400        0.980000              00:15     
43        0.351286    0.897636        0.990986              0.439797    0.872600        0.985200              00:15     
44        0.362608    0.895833        0.988381              0.448996    0.866400        0.983800              00:15     
45        0.349793    0.895232        0.988782              0.575884    0.830000        0.978800              00:15     
46        0.333857    0.898638        0.990385              0.431192    0.868400        0.984800              00:15     
47        0.304596    0.909655        0.991186              0.534551    0.850200        0.982000              00:15     
48        0.313313    0.903045        0.989383              0.401479    0.882800        0.987000              00:15     
49        0.305284    0.908454        0.991386              0.461671    0.867000        0.983800              00:15     
50        0.320065    0.903446        0.991186              0.448972    0.868400        0.984400              00:15     
51        0.302686    0.912861        0.990986              0.442246    0.868200        0.983600              00:15     
52        0.292684    0.912861        0.990785              0.418123    0.879000        0.986800              00:15     
53        0.301482    0.912460        0.989383              0.379082    0.887200        0.988400              00:15     
54        0.295138    0.907853        0.992588              0.456944    0.868800        0.981000              00:15     
55        0.280878    0.912260        0.992388              0.456094    0.865400        0.986400              00:15     
56        0.274615    0.917668        0.991787              0.404825    0.881200        0.988000              00:15     
57        0.294557    0.916266        0.990785              0.474117    0.859400        0.981800              00:15     
58        0.294760    0.916266        0.993389              0.427296    0.873600        0.984400              00:15     
59        0.268132    0.924880        0.990986              0.425414    0.878600        0.984800              00:15     
60        0.259291    0.918069        0.991587              0.431093    0.873600        0.985800              00:15     
61        0.272532    0.919872        0.993189              0.423765    0.877600        0.984600              00:15     
62        0.255881    0.926282        0.991386              0.473467    0.872800        0.983800              00:15     
63        0.247197    0.923077        0.994191              0.409969    0.883800        0.987200              00:15     
64        0.248491    0.923077        0.993790              0.467755    0.867000        0.982600              00:15     
65        0.259284    0.925280        0.992788              0.392238    0.884400        0.985600              00:15     
66        0.248579    0.927284        0.993990              0.433557    0.876200        0.983400              00:15     
67        0.262919    0.925080        0.992989              0.396230    0.887800        0.983600              00:15     
68        0.264457    0.923678        0.991787              0.372345    0.892400        0.985600              00:15     
69        0.248331    0.924880        0.993790              0.375309    0.898400        0.988400              00:15     
70        0.243220    0.932692        0.993189              0.373776    0.892600        0.988200              00:15     
71        0.224546    0.930088        0.994591              0.386148    0.892400        0.987600              00:15     
72        0.217572    0.936098        0.993990              0.431645    0.879600        0.985800              00:15     
73        0.229052    0.931490        0.994191              0.503481    0.857400        0.984400              00:16     
74        0.226102    0.935296        0.993590              0.424625    0.887400        0.985200              00:15     
75        0.220788    0.934896        0.993189              0.429629    0.879200        0.987800              00:15     
76        0.225294    0.931090        0.993790              0.384000    0.887400        0.989600              00:15     
77        0.207099    0.937500        0.993790              0.470427    0.874600        0.985400              00:15     
78        0.220964    0.931490        0.993389              0.546483    0.864800        0.979800              00:15     
79        0.221289    0.936498        0.992188              0.386293    0.892600        0.987200              00:15     
80        0.226973    0.930889        0.994391              0.404960    0.888400        0.987600              00:15     
81        0.207851    0.937300        0.994391              0.391981    0.891600        0.988000              00:15     
82        0.211662    0.937099        0.994792              0.446107    0.876000        0.986200              00:15     
83        0.225922    0.932893        0.994391              0.441476    0.876400        0.988000              00:15     
84        0.205978    0.939303        0.993990              0.418520    0.882800        0.984400              00:15     
85        0.194873    0.944511        0.995593              0.413084    0.886200        0.987000              00:15     
86        0.193961    0.942909        0.993790              0.470626    0.872000        0.984000              00:15     
87        0.204023    0.935897        0.993189              0.382436    0.895000        0.988000              00:15     
88        0.192854    0.942308        0.995393              0.429574    0.885200        0.987400              00:15     
89        0.194433    0.944511        0.996194              0.372055    0.897000        0.988600              00:15     
90        0.169808    0.945312        0.996194              0.506903    0.876000        0.986600              00:15     
91        0.191148    0.942708        0.995393              0.376297    0.896400        0.987000              00:15     
92        0.196569    0.946314        0.994191              0.420240    0.883200        0.983800              00:16     
93        0.187931    0.943309        0.995994              0.403313    0.888000        0.985800              00:15     
94        0.188710    0.945513        0.994391              0.400118    0.887000        0.986800              00:15     
95        0.191108    0.945312        0.993990              0.405651    0.891800        0.986200              00:15     
96        0.191014    0.946715        0.994391              0.462019    0.869400        0.983600              00:16     
97        0.172722    0.952123        0.995393              0.388250    0.893400        0.986600              00:15     
98        0.179705    0.948117        0.995192              0.442579    0.871400        0.984800              00:15     
99        0.181049    0.949519        0.996194              0.474229    0.871600        0.983400              00:15     
100       0.184285    0.944111        0.995994              0.454969    0.879400        0.985000              00:15     
101       0.180586    0.948117        0.994591              0.385940    0.888200        0.987400              00:15     
102       0.167080    0.951322        0.995793              0.400829    0.897000        0.989400              00:15     
103       0.174800    0.950921        0.995994              0.391128    0.886200        0.985400              00:15     
104       0.169493    0.948518        0.995393              0.460204    0.878200        0.986400              00:15     
105       0.167163    0.952123        0.994792              0.501685    0.872600        0.982400              00:15     
106       0.165065    0.950521        0.995793              0.433090    0.891600        0.986600              00:15     
107       0.174153    0.948718        0.995793              0.440166    0.885200        0.984800              00:15     
108       0.167892    0.951723        0.995793              0.432527    0.879800        0.984000              00:16     
109       0.171223    0.951122        0.995393              0.389354    0.897000        0.987600              00:15     
