epoch     train_loss  train_accuracy  train_top_k_accuracy  valid_loss  valid_accuracy  valid_top_k_accuracy  time    
0         3.441214    0.042268        0.200321              3.273346    0.062200        0.278600              00:15     
1         3.121390    0.087941        0.352564              2.806407    0.168200        0.480200              00:14     
2         2.789738    0.160857        0.514623              2.465800    0.222600        0.602600              00:14     
3         2.507276    0.235978        0.631611              2.265120    0.315200        0.692800              00:14     
4         2.298686    0.286258        0.697115              2.009561    0.382200        0.765000              00:14     
5         2.142652    0.345553        0.745393              1.857327    0.433000        0.801400              00:14     
6         1.999419    0.391226        0.784856              1.829952    0.429200        0.819200              00:15     
7         1.865990    0.427484        0.819912              1.705914    0.477000        0.827600              00:14     
8         1.731407    0.452925        0.837941              1.541261    0.517400        0.863600              00:14     
9         1.628699    0.496795        0.855168              1.427347    0.565200        0.877400              00:14     
10        1.538331    0.525641        0.870192              1.482420    0.537200        0.870000              00:15     
11        1.466254    0.546675        0.881210              1.304418    0.607000        0.893400              00:14     
12        1.404971    0.567107        0.893029              1.306175    0.591800        0.898800              00:14     
13        1.360787    0.586939        0.892628              1.175683    0.637600        0.909000              00:15     
14        1.290756    0.607572        0.912460              1.221821    0.615000        0.908200              00:16     
15        1.240360    0.614383        0.915064              1.161779    0.632200        0.914800              00:15     
16        1.223371    0.626603        0.916466              1.114348    0.650800        0.926000              00:14     
17        1.139037    0.653446        0.931290              1.051108    0.677800        0.930600              00:14     
18        1.083732    0.668670        0.935296              1.006144    0.687600        0.935800              00:14     
19        1.031184    0.689103        0.938902              0.924649    0.718400        0.945400              00:14     
20        0.979302    0.702925        0.944311              1.112389    0.665600        0.929800              00:14     
21        0.939218    0.709135        0.951122              0.910330    0.717600        0.946800              00:14     
22        0.904218    0.723958        0.951723              0.972547    0.706600        0.936000              00:14     
23        0.844267    0.743990        0.958734              0.826083    0.757200        0.956200              00:14     
24        0.829120    0.743990        0.959335              0.800785    0.754000        0.959000              00:14     
25        0.785630    0.759415        0.962941              0.838464    0.748000        0.954000              00:14     
26        0.749904    0.772035        0.971154              0.751197    0.766400        0.962200              00:14     
27        0.734605    0.779647        0.965745              0.716005    0.784000        0.963800              00:14     
28        0.687234    0.799279        0.971955              0.754750    0.772600        0.958400              00:14     
29        0.644143    0.801683        0.975962              0.767226    0.770200        0.962800              00:14     
30        0.668583    0.790465        0.972155              0.739688    0.777200        0.964200              00:14     
31        0.619650    0.810497        0.974559              0.603875    0.815200        0.972800              00:14     
32        0.607193    0.819311        0.977564              0.722071    0.781800        0.965000              00:14     
33        0.589250    0.823918        0.975160              0.715045    0.784000        0.968800              00:14     
34        0.595352    0.820713        0.977764              0.697294    0.783200        0.970200              00:14     
35        0.552826    0.828726        0.978766              0.633606    0.813200        0.970200              00:14     
36        0.509200    0.852564        0.982772              0.761841    0.762400        0.965400              00:14     
37        0.544637    0.838942        0.980168              0.669201    0.790800        0.971000              00:14     
38        0.510774    0.843349        0.981170              0.741004    0.783000        0.962400              00:14     
39        0.505202    0.851162        0.980970              0.653868    0.795400        0.970600              00:14     
40        0.478540    0.852764        0.985978              0.698711    0.785400        0.968600              00:14     
41        0.447864    0.861178        0.988982              0.649330    0.810000        0.970000              00:14     
42        0.477544    0.858774        0.978966              0.619239    0.814000        0.972200              00:14     
43        0.413816    0.883614        0.985978              0.659463    0.812200        0.974400              00:14     
44        0.429153    0.875200        0.985176              0.643561    0.807600        0.972200              00:14     
45        0.424388    0.873397        0.984776              0.700021    0.788800        0.964000              00:14     
46        0.404602    0.882212        0.988181              0.750565    0.791000        0.968400              00:15     
47        0.395399    0.875401        0.989383              0.593807    0.825600        0.978600              00:14     
48        0.403871    0.878606        0.986979              0.668797    0.802000        0.968400              00:14     
49        0.410200    0.878806        0.984575              0.704398    0.791000        0.963000              00:14     
50        0.364255    0.897236        0.988582              0.693179    0.794200        0.968400              00:14     
51        0.353616    0.891226        0.989984              0.718117    0.804000        0.968000              00:14     
52        0.372605    0.883614        0.988982              0.753906    0.791400        0.965800              00:14     
53        0.334281    0.900841        0.990385              0.677592    0.808000        0.971800              00:14     
54        0.365927    0.887220        0.988181              0.595276    0.827400        0.971200              00:14     
55        0.346863    0.896434        0.988181              0.700246    0.803200        0.968200              00:14     
56        0.322189    0.899239        0.991186              0.700324    0.807800        0.972400              00:14     
57        0.339741    0.902644        0.987179              0.600776    0.826000        0.972000              00:14     
58        0.328678    0.904046        0.991386              0.643745    0.817000        0.969800              00:14     
59        0.321187    0.907051        0.990184              0.690380    0.809400        0.968600              00:14     
60        0.313744    0.904447        0.990184              0.657074    0.816400        0.970400              00:14     
61        0.310006    0.908854        0.992588              0.663128    0.819400        0.972400              00:14     
62        0.296998    0.912059        0.991587              0.608829    0.831000        0.975000              00:14     
63        0.297649    0.908654        0.990785              0.645631    0.821000        0.972600              00:14     
64        0.304830    0.907652        0.991787              0.652191    0.823400        0.971400              00:15     
65        0.281055    0.914663        0.991987              0.714807    0.809000        0.968200              00:14     
66        0.289278    0.913662        0.990986              0.575422    0.836600        0.973000              00:14     
67        0.281817    0.923277        0.993189              0.743978    0.800600        0.963600              00:14     
68        0.306433    0.909054        0.991186              0.644329    0.821600        0.973600              00:14     
69        0.277269    0.921675        0.991186              0.710050    0.815400        0.969000              00:14     
