epoch     train_loss  train_accuracy  train_top_k_accuracy  valid_loss  valid_accuracy  valid_top_k_accuracy  time    
0         2.697123    0.178285        0.507412              2.403589    0.284200        0.667800              00:13     
1         2.075368    0.382212        0.776843              1.667111    0.493200        0.846600              00:12     
2         1.626372    0.521234        0.866186              1.333384    0.587200        0.903600              00:12     
3         1.334487    0.596554        0.915064              1.141876    0.637000        0.930200              00:11     
4         1.096772    0.676482        0.944712              0.974310    0.699200        0.941200              00:14     
5         0.947581    0.711138        0.954127              0.866904    0.729400        0.962400              00:14     
6         0.876761    0.732973        0.962340              0.866568    0.719800        0.961000              00:14     
7         0.781551    0.758013        0.968149              0.833510    0.741200        0.957600              00:12     
8         0.737807    0.766627        0.969551              0.793178    0.750800        0.964600              00:11     
9         0.664573    0.805489        0.974359              0.665322    0.790200        0.974000              00:12     
10        0.666270    0.804688        0.974760              0.713831    0.782800        0.968000              00:12     
11        0.584986    0.823317        0.982572              0.626054    0.810400        0.972400              00:12     
12        0.569850    0.824920        0.979167              0.661776    0.789800        0.971400              00:12     
13        0.544469    0.837139        0.983774              0.609496    0.813600        0.969800              00:11     
14        0.539841    0.837139        0.982372              0.549841    0.828000        0.976200              00:12     
15        0.491588    0.851362        0.987380              0.613050    0.810600        0.976800              00:11     
16        0.468156    0.860978        0.987179              0.664254    0.801600        0.975000              00:11     
17        0.451179    0.863582        0.987780              0.698129    0.790000        0.969800              00:11     
18        0.452175    0.859976        0.988381              0.612806    0.804800        0.974800              00:12     
19        0.422803    0.866186        0.989583              0.609139    0.818800        0.976600              00:13     
20        0.396266    0.877604        0.988181              0.499059    0.848400        0.982400              00:12     
21        0.368682    0.888622        0.990585              0.589526    0.823000        0.977000              00:11     
22        0.360390    0.892027        0.993189              0.526376    0.837000        0.981600              00:12     
23        0.373638    0.884415        0.990585              0.612683    0.826000        0.975600              00:12     
24        0.369933    0.886218        0.990385              0.618141    0.817200        0.970600              00:11     
25        0.353884    0.887821        0.991587              0.515986    0.847800        0.981400              00:12     
26        0.329296    0.901242        0.991587              0.497521    0.853000        0.984000              00:12     
27        0.326250    0.895032        0.993590              0.511257    0.846800        0.983600              00:12     
28        0.315528    0.905449        0.991587              0.518511    0.851600        0.980400              00:11     
29        0.318413    0.901643        0.992588              0.511770    0.845400        0.982600              00:11     
30        0.311259    0.907051        0.994391              0.523491    0.842800        0.982000              00:12     
31        0.301106    0.909856        0.991587              0.531935    0.849800        0.978800              00:11     
32        0.310243    0.906851        0.990986              0.542105    0.840600        0.980600              00:12     
33        0.287846    0.916066        0.993590              0.550245    0.840400        0.980400              00:12     
34        0.278196    0.917869        0.991787              0.541219    0.846200        0.984600              00:11     
35        0.289048    0.919271        0.992788              0.595028    0.827600        0.976200              00:11     
36        0.259822    0.919271        0.992788              0.607891    0.839800        0.975800              00:12     
37        0.283971    0.915264        0.995192              0.533566    0.839000        0.979800              00:12     
38        0.260316    0.922877        0.994391              0.556354    0.844800        0.978000              00:11     
39        0.256472    0.923478        0.993790              0.531329    0.849400        0.981000              00:12     
40        0.258560    0.925881        0.994191              0.553631    0.835000        0.979200              00:11     
41        0.273482    0.918069        0.992788              0.501911    0.858400        0.983000              00:12     
42        0.256445    0.926883        0.992989              0.513150    0.848200        0.982400              00:12     
43        0.251220    0.926683        0.993590              0.516063    0.863400        0.979400              00:11     
