epoch     train_loss  train_accuracy  train_top_k_accuracy  valid_loss  valid_accuracy  valid_top_k_accuracy  time    
0         3.630570    0.121194        0.368189              3.465189    0.223400        0.548600              00:12     
1         2.873901    0.262821        0.633614              2.473307    0.333200        0.692400              00:10     
2         2.446206    0.376402        0.757212              1.994978    0.435800        0.843800              00:11     
3         2.043795    0.465345        0.840345              1.878602    0.530400        0.871600              00:11     
4         1.628412    0.568910        0.894231              1.400985    0.601000        0.916800              00:11     
5         1.531063    0.604567        0.915665              1.454498    0.644200        0.930000              00:10     
6         1.485915    0.623998        0.918870              1.380664    0.662400        0.927600              00:10     
7         1.248016    0.676683        0.944511              1.074652    0.707800        0.947000              00:10     
8         1.138907    0.713742        0.945513              1.344971    0.677000        0.936200              00:10     
9         1.176099    0.700921        0.939704              1.090630    0.725000        0.950200              00:11     
10        1.129174    0.730369        0.947516              1.204508    0.717600        0.945800              00:11     
11        0.987584    0.758213        0.962139              0.913694    0.767800        0.971600              00:11     
12        1.004940    0.746194        0.959936              0.901048    0.778800        0.962400              00:11     
13        0.949436    0.771034        0.963742              0.954482    0.781800        0.957600              00:11     
14        0.936313    0.774840        0.959936              0.834930    0.799600        0.962200              00:11     
15        0.858044    0.795673        0.971755              0.890993    0.805400        0.964800              00:11     
16        0.887152    0.790465        0.968149              0.973122    0.788600        0.973600              00:10     
17        0.833715    0.802885        0.973558              1.052451    0.776000        0.960200              00:10     
18        0.798651    0.805689        0.972356              0.730038    0.822600        0.975000              00:10     
19        0.666242    0.838141        0.978165              0.851191    0.813000        0.974000              00:11     
20        0.807689    0.804888        0.979367              1.176599    0.783600        0.963000              00:10     
21        0.710975    0.823518        0.977163              0.812517    0.817800        0.969200              00:11     
22        0.671611    0.833734        0.980769              0.816030    0.821000        0.976000              00:11     
23        0.744165    0.824720        0.976562              0.760287    0.835200        0.978000              00:11     
24        0.656642    0.845152        0.981771              0.826581    0.827800        0.973000              00:12     
25        0.687139    0.841546        0.976562              0.797439    0.842600        0.977600              00:12     
26        0.752677    0.840144        0.978766              0.804432    0.833200        0.979400              00:11     
27        0.618288    0.853365        0.980168              0.742063    0.846800        0.980200              00:11     
28        0.554599    0.867388        0.984175              0.719443    0.845800        0.980800              00:11     
29        0.622675    0.848958        0.984776              1.242669    0.804800        0.954200              00:10     
30        0.685242    0.848357        0.979167              0.967301    0.809000        0.978000              00:11     
31        0.648181    0.850361        0.980168              0.912716    0.836000        0.976400              00:11     
32        0.659219    0.852163        0.984976              0.917372    0.834000        0.976600              00:11     
33        0.506273    0.878806        0.986979              0.540477    0.875800        0.984600              00:10     
34        0.536283    0.870593        0.984175              0.754313    0.853600        0.976400              00:10     
35        0.581940    0.875000        0.984976              1.312168    0.845400        0.981800              00:11     
36        0.558326    0.871595        0.987780              0.713299    0.856400        0.977400              00:11     
37        0.611064    0.863982        0.983974              0.656554    0.868000        0.983400              00:11     
38        0.462371    0.893630        0.988982              0.647172    0.872800        0.980000              00:10     
39        0.530095    0.875801        0.987981              0.932487    0.848000        0.971200              00:11     
40        0.508837    0.880609        0.984375              0.801604    0.859800        0.977800              00:11     
41        0.478814    0.888622        0.989784              0.596560    0.879000        0.987600              00:11     
42        0.464920    0.895232        0.987981              0.981553    0.831200        0.974200              00:11     
43        0.535945    0.886018        0.987981              0.913282    0.854000        0.977600              00:11     
44        0.473408    0.891627        0.988782              0.685942    0.873000        0.978200              00:10     
45        0.485235    0.892428        0.989383              0.922454    0.859800        0.980400              00:10     
46        0.476447    0.892428        0.986579              0.727806    0.871200        0.981400              00:11     
47        0.401237    0.904046        0.987580              0.596232    0.883400        0.980200              00:11     
48        0.427359    0.895833        0.990385              0.875731    0.865400        0.981600              00:10     
49        0.435515    0.900441        0.989984              0.810739    0.862800        0.982600              00:10     
50        0.465541    0.897035        0.991587              0.882524    0.866800        0.978000              00:10     
51        0.453022    0.897035        0.986979              0.842654    0.863800        0.979400              00:10     
52        0.429357    0.904647        0.990184              0.782214    0.868000        0.985200              00:10     
53        0.348021    0.915264        0.991186              0.595554    0.893800        0.986200              00:10     
54        0.314600    0.920873        0.993590              0.670013    0.886400        0.981000              00:10     
55        0.373458    0.913261        0.992188              0.908904    0.862800        0.978600              00:10     
56        0.402362    0.906050        0.989583              0.888993    0.858800        0.976800              00:10     
57        0.476457    0.899239        0.990986              0.813492    0.859800        0.976000              00:11     
58        0.418127    0.904447        0.991587              0.729696    0.874600        0.984000              00:11     
59        0.295268    0.926883        0.993790              0.594143    0.898600        0.987000              00:11     
60        0.339383    0.916867        0.994591              0.855999    0.868800        0.980800              00:10     
61        0.378789    0.915865        0.993590              0.815343    0.869800        0.976400              00:10     
62        0.420323    0.905849        0.987580              0.700624    0.887600        0.980600              00:11     
63        0.376692    0.913662        0.988982              0.973070    0.864600        0.980800              00:10     
64        0.362461    0.918870        0.992388              0.905502    0.863000        0.981200              00:11     
65        0.389070    0.910457        0.991186              0.863705    0.870800        0.982400              00:10     
66        0.340991    0.919271        0.992989              0.672146    0.883400        0.985000              00:11     
67        0.293330    0.926082        0.995793              0.672856    0.886200        0.986800              00:10     
68        0.353967    0.919671        0.991587              0.906924    0.864400        0.983800              00:10     
69        0.358513    0.918870        0.993590              0.882723    0.867600        0.979000              00:11     
70        0.344343    0.922476        0.991787              0.867382    0.884800        0.982600              00:11     
71        0.462931    0.913662        0.990785              1.121737    0.850000        0.977400              00:10     
72        0.342739    0.917468        0.991587              0.789210    0.890200        0.981200              00:10     
73        0.349873    0.927484        0.994792              0.686867    0.892000        0.986000              00:11     
74        0.316327    0.934896        0.992788              0.844299    0.871000        0.978000              00:10     
75        0.362876    0.915465        0.992388              0.682925    0.884800        0.984800              00:10     
76        0.358302    0.925280        0.992188              0.839095    0.874400        0.983200              00:10     
77        0.276037    0.934696        0.996595              1.067327    0.854200        0.977400              00:10     
78        0.323657    0.927083        0.994591              0.888991    0.868600        0.983600              00:10     
79        0.301716    0.923478        0.992989              0.775186    0.882800        0.982000              00:11     
80        0.264456    0.941306        0.994191              0.656175    0.897000        0.987400              00:11     
81        0.312966    0.930889        0.993189              0.972643    0.869400        0.980200              00:10     
82        0.328116    0.927484        0.994391              1.300003    0.873800        0.982000              00:10     
83        0.312299    0.928886        0.993590              0.597277    0.903000        0.988400              00:10     
84        0.319100    0.927885        0.993389              0.994050    0.866600        0.981600              00:11     
85        0.301352    0.938101        0.992388              0.756797    0.874600        0.982400              00:10     
86        0.369106    0.925481        0.994191              0.813784    0.890000        0.985600              00:10     
87        0.356954    0.932091        0.993189              0.846977    0.878400        0.981200              00:10     
88        0.290983    0.932893        0.992788              0.663537    0.892600        0.984000              00:10     
89        0.234590    0.941106        0.993990              0.686017    0.894200        0.986200              00:10     
90        0.283195    0.935497        0.994992              1.169523    0.855400        0.977000              00:11     
91        0.306048    0.926282        0.994391              0.689876    0.887000        0.983000              00:11     
92        0.271209    0.939303        0.996595              0.891860    0.867000        0.980600              00:11     
93        0.257559    0.941707        0.995593              0.747269    0.893200        0.985800              00:10     
94        0.227731    0.949119        0.994191              0.859625    0.878200        0.983000              00:10     
95        0.303220    0.935497        0.993389              0.840307    0.885600        0.981800              00:10     
96        0.347315    0.936098        0.993990              0.851979    0.873000        0.981600              00:11     
97        0.293967    0.937300        0.996795              0.874820    0.879800        0.983800              00:10     
98        0.280168    0.943710        0.995192              0.753889    0.895800        0.990600              00:10     
99        0.305349    0.932692        0.995593              0.794917    0.891600        0.983000              00:10     
100       0.280800    0.936098        0.994992              0.802717    0.879600        0.984400              00:10     
101       0.289266    0.944712        0.995192              0.822822    0.875000        0.983200              00:10     
102       0.222535    0.947316        0.995793              0.667046    0.895400        0.987000              00:10     
103       0.307193    0.935697        0.992989              0.745849    0.893000        0.985600              00:09     
104       0.273941    0.938702        0.994191              0.788066    0.882800        0.985600              00:10     
105       0.253026    0.940905        0.996394              0.813514    0.882200        0.981600              00:10     
106       0.213701    0.946114        0.994792              0.628859    0.899200        0.986000              00:10     
107       0.242005    0.940905        0.994591              0.736890    0.884200        0.984200              00:09     
108       0.240587    0.946114        0.993389              0.655381    0.899400        0.986800              00:10     
109       0.210571    0.948117        0.995393              0.729135    0.887400        0.983200              00:10     
110       0.229982    0.947917        0.995994              1.332263    0.854600        0.973600              00:10     
111       0.303469    0.928085        0.991987              0.849401    0.884800        0.980800              00:10     
112       0.277229    0.944111        0.995793              0.833088    0.886800        0.983200              00:10     
113       0.225227    0.948718        0.996795              0.758891    0.898200        0.985600              00:10     
114       0.289480    0.942308        0.995192              0.935283    0.879000        0.983000              00:10     
115       0.244046    0.945513        0.994591              0.837995    0.888400        0.988200              00:10     
116       0.200938    0.953726        0.996795              0.782701    0.895800        0.985200              00:10     
117       0.272456    0.938902        0.994792              0.784958    0.881600        0.981600              00:09     
