epoch     train_loss  train_accuracy  train_top_k_accuracy  valid_loss  valid_accuracy  valid_top_k_accuracy  time    
0         3.589366    0.047476        0.201723              3.371391    0.057200        0.232200              00:42     
1         3.245078    0.076322        0.312500              3.115282    0.095000        0.342400              00:40     
2         3.037296    0.119992        0.404046              2.815209    0.148600        0.480800              00:40     
3         2.816612    0.160857        0.501603              2.540068    0.218000        0.600600              00:40     
4         2.553787    0.223558        0.613982              2.335778    0.238000        0.675200              00:40     
5         2.331447    0.280849        0.684495              2.095915    0.340200        0.747000              00:40     
6         2.196146    0.323718        0.720753              1.933065    0.399600        0.788400              00:40     
7         2.155448    0.334335        0.729367              2.023824    0.369000        0.764600              00:40     
8         2.025450    0.388622        0.771835              1.837024    0.428000        0.802200              00:40     
9         1.923964    0.404247        0.798077              1.778030    0.456000        0.807800              00:40     
10        1.851276    0.428085        0.804888              1.762234    0.461000        0.812400              00:40     
11        1.798102    0.450321        0.820513              1.674240    0.491400        0.834400              00:40     
12        1.738511    0.471755        0.831530              1.665323    0.479600        0.825200              00:40     
13        1.657084    0.490184        0.841747              1.566220    0.517600        0.862600              00:40     
14        1.593152    0.511418        0.857772              1.467705    0.541200        0.877000              00:40     
15        1.504015    0.539062        0.881010              1.388210    0.572600        0.883400              00:40     
16        1.432237    0.561298        0.879006              1.259723    0.619600        0.905400              00:40     
17        1.349355    0.590545        0.893229              1.179269    0.644800        0.915400              00:40     
18        1.271076    0.613181        0.915665              1.177595    0.643600        0.911000              00:40     
19        1.187813    0.642829        0.914263              1.103600    0.663000        0.927000              00:40     
20        1.149480    0.648438        0.921274              1.049565    0.676000        0.930000              00:41     
21        1.116886    0.663662        0.922877              1.027550    0.685600        0.936600              00:40     
22        1.079184    0.676082        0.932091              1.012648    0.698600        0.931800              00:40     
23        1.025639    0.696314        0.937700              0.962000    0.709800        0.944000              00:40     
24        0.964861    0.706530        0.941907              0.954348    0.714200        0.940800              00:40     
25        0.933920    0.720353        0.947917              0.923955    0.708200        0.952000              00:40     
26        0.908958    0.728766        0.946514              0.844890    0.740000        0.954600              00:40     
27        0.877567    0.733774        0.955128              0.855179    0.740400        0.955800              00:40     
28        0.838479    0.753005        0.956130              0.827762    0.747600        0.953800              00:40     
29        0.806166    0.751402        0.959736              0.769915    0.770200        0.960400              00:40     
30        0.778975    0.771034        0.961538              0.742594    0.776400        0.969400              00:40     
31        0.745149    0.780449        0.965345              0.752885    0.769800        0.958600              00:40     
32        0.708962    0.780048        0.968750              0.692668    0.787600        0.969000              00:40     
33        0.690167    0.787059        0.969952              0.697095    0.791800        0.962800              00:40     
34        0.681171    0.798277        0.968349              0.698022    0.787200        0.970600              00:40     
