epoch     train_loss  train_accuracy  train_top_k_accuracy  valid_loss  valid_accuracy  valid_top_k_accuracy  time    
0         1.067424    0.610577        0.838742              0.467920    0.861400        0.982600              00:26     
1         0.580010    0.859175        0.983173              0.303584    0.903400        0.992600              00:24     
2         0.403882    0.891226        0.988381              0.234992    0.926000        0.996000              00:25     
3         0.344376    0.905849        0.991787              0.270656    0.920600        0.995200              00:25     
4         0.294737    0.910256        0.994792              0.244524    0.923400        0.994800              00:25     
5         0.246131    0.934095        0.993990              0.220855    0.929800        0.996200              00:24     
6         0.237794    0.932091        0.993189              0.294101    0.909000        0.992400              00:25     
7         0.200392    0.944712        0.994391              0.309045    0.918800        0.989400              00:25     
8         0.224169    0.933494        0.994591              0.349459    0.899800        0.988600              00:25     
9         0.219162    0.938902        0.994391              0.365282    0.902600        0.992600              00:25     
10        0.221758    0.937300        0.993790              0.307618    0.914200        0.991600              00:25     
11        0.189294    0.947516        0.995593              0.293601    0.912200        0.997000              00:25     
12        0.169936    0.951122        0.994391              0.274863    0.930800        0.992600              00:25     
13        0.174625    0.950921        0.995192              0.286528    0.917000        0.993200              00:24     
14        0.174838    0.949920        0.995192              0.319104    0.900800        0.989200              00:25     
15        0.170503    0.948718        0.995593              0.251389    0.927400        0.993600              00:25     
16        0.152499    0.952724        0.996595              0.342125    0.909600        0.990800              00:25     
17        0.156670    0.954527        0.995593              0.274416    0.922200        0.991400              00:24     
18        0.135645    0.959936        0.997396              0.335696    0.907800        0.991600              00:24     
19        0.148364    0.958934        0.995593              0.226438    0.933800        0.995800              00:25     
20        0.143932    0.955929        0.996795              0.312944    0.915800        0.990400              00:25     
21        0.144404    0.958333        0.997796              0.401055    0.895800        0.985200              00:25     
22        0.150979    0.957933        0.996595              0.304324    0.918200        0.991200              00:25     
23        0.138707    0.960337        0.994992              0.323920    0.919000        0.991000              00:25     
24        0.145838    0.957933        0.996795              0.304490    0.910600        0.989600              00:25     
25        0.122374    0.968550        0.997796              0.344988    0.905000        0.989200              00:24     
26        0.121683    0.965946        0.996595              0.295242    0.923400        0.989200              00:25     
27        0.121824    0.965745        0.997997              0.259128    0.930000        0.993600              00:25     
28        0.127737    0.963542        0.996595              0.230295    0.930600        0.993800              00:25     
29        0.104649    0.972155        0.998397              0.312068    0.921000        0.990000              00:24     
30        0.120414    0.962540        0.997196              0.334578    0.914200        0.990200              00:24     
31        0.139161    0.961739        0.996795              0.280042    0.920000        0.991000              00:25     
32        0.117668    0.967949        0.996795              0.296982    0.927400        0.990800              00:24     
33        0.107521    0.967949        0.998197              0.315129    0.920200        0.990000              00:25     
34        0.121841    0.964343        0.996995              0.298694    0.922400        0.992400              00:24     
35        0.112171    0.970954        0.996595              0.283122    0.927600        0.992400              00:25     
36        0.096726    0.973357        0.997796              0.253449    0.931400        0.991800              00:25     
37        0.105256    0.972356        0.997596              0.326506    0.906600        0.991400              00:25     
38        0.101141    0.972556        0.996194              0.354399    0.912200        0.987800              00:25     
39        0.119216    0.968349        0.996394              0.327602    0.913800        0.987600              00:25     
40        0.100940    0.975561        0.997997              0.311013    0.924600        0.991800              00:24     
41        0.106228    0.970553        0.997396              0.263533    0.919400        0.991400              00:24     
42        0.097212    0.972957        0.997596              0.276100    0.927600        0.991000              00:24     
43        0.084340    0.976362        0.997997              0.340111    0.915800        0.989800              00:25     
44        0.108337    0.968750        0.995593              0.266028    0.939000        0.993200              00:25     
45        0.095714    0.970553        0.997396              0.300842    0.924200        0.992400              00:25     
46        0.096772    0.971554        0.996995              0.343673    0.925600        0.988800              00:24     
47        0.098907    0.971354        0.999399              0.331091    0.914600        0.986600              00:25     
48        0.106017    0.973357        0.997997              0.328157    0.913400        0.990000              00:25     
49        0.100810    0.969952        0.999399              0.426040    0.896000        0.984200              00:25     
50        0.085501    0.978566        0.997796              0.367552    0.917000        0.986400              00:25     
51        0.089904    0.973958        0.996795              0.294700    0.924400        0.991400              00:25     
52        0.107036    0.966747        0.998397              0.315019    0.925200        0.991600              00:25     
53        0.091140    0.976562        0.998798              0.295704    0.924600        0.994200              00:25     
54        0.091610    0.971955        0.998197              0.335284    0.918400        0.994200              00:25     
55        0.083368    0.977163        0.998197              0.341448    0.909200        0.990800              00:25     
56        0.077790    0.977163        0.997997              0.328183    0.914000        0.992200              00:25     
57        0.095385    0.971554        0.997796              0.267178    0.923400        0.992600              00:25     
58        0.082709    0.975962        0.998998              0.326579    0.922600        0.992800              00:25     
59        0.083369    0.974359        0.997997              0.362998    0.906400        0.988000              00:25     
60        0.092718    0.973758        0.996995              0.332163    0.916200        0.991400              00:25     
61        0.079168    0.977764        0.998397              0.358628    0.913000        0.988400              00:24     
62        0.090421    0.975361        0.998798              0.359151    0.909800        0.988600              00:25     
63        0.074150    0.978566        0.998598              0.286862    0.929600        0.990800              00:24     
64        0.077425    0.978566        0.997997              0.344244    0.910200        0.990800              00:24     
65        0.087916    0.974960        0.997997              0.374875    0.903800        0.988800              00:25     
66        0.083067    0.975561        0.997997              0.439922    0.900800        0.982200              00:25     
67        0.078880    0.976763        0.997596              0.403146    0.904800        0.985800              00:24     
68        0.091372    0.972756        0.996595              0.341780    0.906600        0.990200              00:25     
69        0.078171    0.978165        0.997997              0.423141    0.908200        0.984400              00:25     
70        0.075002    0.978766        0.998798              0.356688    0.914000        0.988200              00:25     
71        0.093597    0.975962        0.997796              0.285868    0.927000        0.987400              00:25     
72        0.073632    0.982171        0.998998              0.358206    0.913200        0.984400              00:25     
73        0.078023    0.975561        0.997396              0.414469    0.904800        0.984200              00:25     
74        0.064364    0.980769        0.998197              0.360968    0.921600        0.988800              00:25     
75        0.082980    0.974159        0.998397              0.437817    0.896800        0.981000              00:25     
76        0.072474    0.978766        0.997596              0.373562    0.912200        0.987800              00:24     
77        0.077160    0.978566        0.998598              0.415097    0.899200        0.982800              00:25     
78        0.081105    0.980168        0.997997              0.319437    0.918200        0.989800              00:24     
79        0.084396    0.979167        0.997997              0.278750    0.926400        0.990200              00:25     
80        0.071797    0.978566        0.998998              0.405778    0.905200        0.988200              00:25     
81        0.069757    0.977564        0.998598              0.375921    0.911600        0.987800              00:24     
82        0.064618    0.983373        0.998397              0.310663    0.923200        0.989000              00:24     
83        0.084588    0.973958        0.998798              0.397479    0.896200        0.986800              00:24     
84        0.066830    0.982572        0.997396              0.328962    0.919800        0.988200              00:25     
85        0.066000    0.979567        0.998197              0.325238    0.923200        0.989800              00:25     
86        0.068793    0.979367        0.999199              0.327615    0.922600        0.991400              00:25     
87        0.057551    0.985978        0.998798              0.287870    0.928600        0.991000              00:25     
88        0.063799    0.981370        0.998598              0.417514    0.912800        0.986200              00:25     
89        0.061066    0.981170        0.998197              0.335131    0.920200        0.988000              00:25     
90        0.078520    0.980769        0.998598              0.314907    0.911200        0.987800              00:25     
91        0.067257    0.979167        0.998798              0.340181    0.916400        0.988800              00:25     
92        0.054927    0.985176        0.999199              0.378317    0.914000        0.984200              00:25     
93        0.068873    0.978966        0.998998              0.388759    0.906400        0.986600              00:25     
94        0.049254    0.987179        0.998598              0.344410    0.929800        0.992600              00:24     
95        0.054092    0.982973        0.998998              0.467503    0.904800        0.985200              00:25     
96        0.059216    0.982572        0.998397              0.370255    0.918200        0.987800              00:24     
97        0.071406    0.977564        0.998598              0.343635    0.913400        0.987800              00:25     
98        0.071673    0.982171        0.998598              0.452134    0.892800        0.979200              00:24     
99        0.060648    0.981771        0.998998              0.410640    0.900200        0.986600              00:24     
100       0.051535    0.982772        0.999199              0.233356    0.940800        0.993200              00:24     
101       0.071880    0.977764        0.998598              0.301608    0.922800        0.990800              00:24     
102       0.061995    0.980970        0.999199              0.327890    0.921800        0.988800              00:24     
103       0.050878    0.984175        0.998998              0.396168    0.907600        0.988200              00:24     
104       0.051663    0.985777        0.998197              0.307821    0.921600        0.991000              00:24     
105       0.061275    0.982171        0.999199              0.266973    0.933400        0.991200              00:25     
106       0.049135    0.986579        0.998998              0.299926    0.926600        0.991000              00:24     
107       0.059397    0.982973        0.997796              0.269557    0.935800        0.992600              00:25     
108       0.061588    0.982772        0.998798              0.311030    0.925000        0.991200              00:25     
