epoch     train_loss  train_accuracy  train_top_k_accuracy  valid_loss  valid_accuracy  valid_top_k_accuracy  time    
0         3.409308    0.039463        0.188101              3.405680    0.040400        0.202800              00:10     
1         3.400453    0.034856        0.186498              3.391925    0.038600        0.202800              00:09     
2         3.374641    0.042268        0.206330              3.273737    0.053600        0.273000              00:09     
3         3.204010    0.074720        0.310897              3.077926    0.100000        0.338800              00:09     
4         3.087054    0.091146        0.350160              2.970242    0.115000        0.408000              00:09     
5         2.837943    0.154247        0.480769              2.605271    0.210200        0.560800              00:09     
6         2.585939    0.202123        0.597957              2.434905    0.245800        0.633800              00:09     
7         2.419508    0.249399        0.652644              2.415672    0.275600        0.627600              00:09     
8         2.279290    0.292668        0.703125              2.109607    0.353400        0.738800              00:09     
9         2.131709    0.347155        0.746194              1.958433    0.384800        0.786400              00:09     
10        1.962702    0.397436        0.791466              1.824584    0.426200        0.814200              00:09     
11        1.820717    0.429487        0.826723              1.664009    0.479200        0.841200              00:09     
12        1.690519    0.470553        0.845753              1.603691    0.484800        0.852000              00:09     
13        1.587952    0.508413        0.865184              1.507844    0.536000        0.862200              00:09     
14        1.481699    0.539062        0.883614              1.321240    0.597000        0.897400              00:09     
15        1.403207    0.562901        0.886018              1.253528    0.605400        0.905600              00:09     
16        1.330623    0.590144        0.904046              1.119419    0.646600        0.924600              00:09     
17        1.297202    0.602764        0.913261              1.228792    0.611600        0.912400              00:09     
18        1.224602    0.626402        0.915264              1.152442    0.646800        0.912600              00:09     
19        1.164420    0.639223        0.927083              1.129027    0.648200        0.922600              00:09     
20        1.074074    0.678486        0.940104              1.126295    0.644800        0.920200              00:09     
21        1.011563    0.685697        0.943309              0.922576    0.716000        0.941600              00:09     
22        0.984774    0.699920        0.944311              1.105167    0.656200        0.925000              00:09     
23        0.944970    0.709135        0.951122              0.935058    0.710400        0.939400              00:09     
24        0.895169    0.730168        0.956731              1.050656    0.684200        0.927800              00:09     
25        0.829148    0.744191        0.960737              0.896010    0.727400        0.946600              00:09     
26        0.782898    0.757212        0.965946              0.897967    0.720200        0.948200              00:09     
