epoch     train_loss  train_accuracy  train_top_k_accuracy  valid_loss  valid_accuracy  valid_top_k_accuracy  time    
0         3.590301    0.036258        0.177284              3.569129    0.070200        0.223600              00:11     
1         3.321484    0.070312        0.283654              3.198809    0.086200        0.303400              00:10     
2         3.159626    0.078325        0.348758              3.010850    0.100000        0.394600              00:10     
3         3.063334    0.100962        0.368790              3.046737    0.105600        0.382600              00:10     
4         2.929018    0.115986        0.428886              2.777094    0.145600        0.482400              00:10     
5         2.762713    0.156250        0.519832              2.591063    0.194200        0.574600              00:10     
6         2.634951    0.181090        0.570513              2.557130    0.195800        0.586800              00:10     
7         2.565806    0.194912        0.584335              2.487470    0.213600        0.607400              00:09     
8         2.512801    0.207332        0.616987              2.553466    0.183000        0.572200              00:10     
9         2.509529    0.202724        0.613982              2.401317    0.248800        0.631200              00:10     
10        2.448994    0.239784        0.639824              2.268228    0.266000        0.698000              00:10     
11        2.378803    0.255008        0.665865              2.196206    0.346800        0.708600              00:10     
12        2.248442    0.294271        0.701723              2.210555    0.314800        0.733000              00:10     
13        2.188931    0.309095        0.730970              2.003256    0.365600        0.771200              00:10     
14        2.079609    0.352965        0.768029              1.936148    0.388600        0.785000              00:09     
15        1.978852    0.394431        0.793269              1.816019    0.434200        0.819800              00:10     
16        1.885724    0.413662        0.806691              1.695102    0.466800        0.837800              00:10     
17        1.783664    0.434696        0.831330              1.654589    0.463800        0.843400              00:10     
18        1.717217    0.456530        0.838942              1.547333    0.515800        0.871600              00:10     
19        1.633253    0.495994        0.864583              1.490545    0.535200        0.878000              00:10     
20        1.577918    0.505208        0.871795              1.424028    0.553200        0.890200              00:10     
21        1.492388    0.536859        0.888221              1.368453    0.578200        0.893400              00:10     
22        1.443141    0.541466        0.892027              1.264927    0.607000        0.908800              00:10     
23        1.395623    0.566907        0.894231              1.221422    0.619200        0.912800              00:10     
24        1.320818    0.601963        0.910056              1.369199    0.576400        0.901000              00:10     
25        1.263119    0.614984        0.920072              1.203167    0.630200        0.911200              00:10     
26        1.234089    0.611579        0.915865              1.083057    0.660800        0.930600              00:10     
27        1.161180    0.639022        0.932692              1.103170    0.666400        0.925600              00:10     
28        1.145622    0.640224        0.929287              1.025806    0.686000        0.935200              00:10     
29        1.067248    0.662460        0.937099              1.177629    0.637600        0.921000              00:10     
30        1.057059    0.668470        0.942909              1.006780    0.690000        0.936800              00:10     
31        1.038612    0.681290        0.943710              1.037482    0.690000        0.927000              00:10     
32        1.040994    0.687901        0.945913              1.110782    0.655400        0.932200              00:10     
33        0.958926    0.700120        0.954327              1.084746    0.667400        0.931000              00:10     
34        0.935783    0.696915        0.953526              0.948904    0.700400        0.946400              00:10     
35        0.920370    0.715345        0.956931              0.945768    0.708000        0.947200              00:10     
36        0.905964    0.722556        0.957332              0.880379    0.732000        0.948800              00:10     
37        0.883099    0.734776        0.955729              0.874460    0.729800        0.949800              00:10     
38        0.855785    0.741386        0.958534              0.971439    0.705800        0.946000              00:10     
39        0.817636    0.753005        0.964143              0.836390    0.750200        0.950400              00:09     
40        0.824879    0.737780        0.965345              0.894549    0.732800        0.950600              00:10     
41        0.787223    0.757812        0.962740              0.823354    0.747600        0.957600              00:10     
42        0.744838    0.768630        0.967348              0.875809    0.729400        0.955000              00:10     
43        0.744671    0.769832        0.967348              0.900324    0.720200        0.953800              00:10     
44        0.742996    0.767628        0.966747              0.837672    0.747400        0.954000              00:10     
45        0.724726    0.780449        0.969752              0.827832    0.742800        0.961200              00:10     
46        0.693239    0.786659        0.972556              0.868294    0.745400        0.949600              00:10     
47        0.667950    0.798277        0.974559              0.799953    0.767200        0.955600              00:10     
48        0.663381    0.794471        0.975160              0.849699    0.746400        0.947800              00:10     
49        0.653345    0.796675        0.975160              0.833161    0.745600        0.956400              00:10     
50        0.622188    0.812500        0.975561              0.811743    0.755000        0.955200              00:10     
51        0.607153    0.808894        0.977965              0.770919    0.775800        0.958600              00:10     
52        0.634883    0.803285        0.978165              0.788084    0.762400        0.955800              00:10     
53        0.611673    0.815505        0.980769              0.821258    0.744800        0.954800              00:10     
54        0.569544    0.829327        0.978766              0.713724    0.786200        0.965200              00:10     
55        0.562448    0.829527        0.982171              0.721615    0.789400        0.964400              00:10     
56        0.533361    0.839343        0.980369              0.912673    0.741400        0.952600              00:10     
57        0.553597    0.819912        0.979567              0.743234    0.782800        0.964400              00:10     
58        0.547735    0.828526        0.981971              0.808553    0.762000        0.958800              00:10     
59        0.516068    0.847356        0.981971              0.787907    0.776600        0.960800              00:10     
60        0.508510    0.840946        0.982772              0.786868    0.776000        0.960800              00:10     
61        0.490491    0.845753        0.983574              0.756850    0.786000        0.962400              00:10     
62        0.500960    0.846554        0.984575              0.766200    0.773200        0.962800              00:10     
63        0.511719    0.850761        0.984175              0.744509    0.781800        0.967200              00:10     
64        0.495423    0.842748        0.984375              0.800039    0.777400        0.959200              00:10     
65        0.461450    0.863982        0.983173              0.724193    0.781200        0.966400              00:10     
66        0.478266    0.851562        0.985577              0.713242    0.787000        0.964000              00:10     
67        0.484647    0.862380        0.983173              0.775723    0.770000        0.960600              00:10     
68        0.476335    0.858574        0.985577              0.713923    0.798600        0.963200              00:10     
69        0.441550    0.872997        0.985577              0.901756    0.747400        0.959800              00:10     
70        0.428425    0.866386        0.985377              0.796921    0.779400        0.960000              00:10     
71        0.410871    0.879607        0.988982              0.761518    0.779800        0.963200              00:10     
72        0.432881    0.865785        0.985176              0.855684    0.758800        0.956400              00:10     
73        0.401305    0.877604        0.988582              0.808014    0.774200        0.961000              00:10     
74        0.409915    0.877204        0.987780              0.758800    0.788000        0.963200              00:10     
75        0.403305    0.888221        0.986178              0.677335    0.809000        0.969000              00:10     
76        0.411621    0.874599        0.987179              0.836620    0.770200        0.963800              00:10     
77        0.424455    0.866987        0.985577              0.710966    0.799600        0.966400              00:10     
78        0.422373    0.878806        0.986979              0.736813    0.792000        0.964600              00:10     
79        0.379010    0.891827        0.990585              0.767619    0.792800        0.965400              00:10     
80        0.361335    0.894832        0.988782              0.766247    0.790400        0.959800              00:10     
81        0.404677    0.875801        0.988582              0.713105    0.798600        0.967000              00:10     
82        0.336539    0.906050        0.989784              0.792186    0.782600        0.961800              00:10     
83        0.350178    0.898838        0.989784              0.786712    0.782400        0.959400              00:10     
84        0.372864    0.886819        0.991186              0.753329    0.789800        0.965200              00:10     
85        0.346441    0.897035        0.991386              0.847542    0.769000        0.957000              00:10     
86        0.364591    0.888622        0.987580              0.766738    0.790000        0.964400              00:10     
87        0.325630    0.904447        0.991186              0.713837    0.809600        0.965200              00:10     
88        0.355338    0.895433        0.988381              0.680237    0.807200        0.967800              00:10     
89        0.362348    0.885617        0.989183              0.620205    0.819000        0.972600              00:10     
90        0.316829    0.911058        0.989984              0.777465    0.792000        0.963400              00:10     
91        0.308532    0.906250        0.990585              0.746021    0.792600        0.966800              00:10     
92        0.315958    0.907252        0.990785              0.740516    0.795400        0.967600              00:10     
93        0.320111    0.906050        0.989383              0.738400    0.799800        0.968800              00:10     
94        0.336139    0.894832        0.990785              0.727054    0.800600        0.966800              00:10     
95        0.326015    0.909255        0.988181              0.764124    0.792000        0.964800              00:10     
96        0.310809    0.906050        0.991186              0.706448    0.805800        0.967800              00:10     
97        0.296606    0.912460        0.992188              0.760141    0.793800        0.963400              00:10     
98        0.276142    0.920473        0.991787              0.702294    0.811600        0.968000              00:10     
99        0.307640    0.909054        0.990585              0.754025    0.797600        0.964000              00:10     
100       0.312752    0.913462        0.987380              0.767121    0.787000        0.965000              00:10     
101       0.292983    0.916466        0.992388              0.691577    0.805600        0.967800              00:10     
102       0.308476    0.908454        0.989583              0.743726    0.794800        0.965800              00:10     
103       0.324380    0.907051        0.990385              0.692239    0.805600        0.967600              00:10     
104       0.288397    0.910457        0.993790              0.655354    0.820600        0.972000              00:10     
105       0.278830    0.916266        0.992788              0.659441    0.817000        0.966600              00:10     
106       0.274828    0.917067        0.989583              0.817357    0.793200        0.962000              00:10     
107       0.264742    0.919071        0.991386              0.699885    0.819000        0.966600              00:10     
108       0.275104    0.917668        0.992188              0.683739    0.820400        0.966800              00:10     
109       0.267321    0.918069        0.993990              0.765249    0.801600        0.968000              00:10     
110       0.254484    0.919071        0.993790              0.713775    0.813000        0.967200              00:10     
111       0.274331    0.922276        0.992388              0.734811    0.804200        0.963400              00:10     
112       0.246091    0.923878        0.992788              0.777495    0.798400        0.963000              00:10     
113       0.276571    0.916066        0.992388              0.651226    0.827800        0.966200              00:10     
114       0.272845    0.921074        0.990785              0.761411    0.803800        0.960600              00:10     
115       0.262931    0.922676        0.991787              0.721368    0.810200        0.968600              00:10     
116       0.275473    0.921274        0.992188              0.695792    0.807600        0.968800              00:10     
117       0.253661    0.929087        0.993389              0.745163    0.804000        0.963600              00:10     
118       0.252491    0.925481        0.992188              0.720664    0.817000        0.965400              00:10     
119       0.264278    0.921875        0.991787              0.717724    0.816000        0.967800              00:10     
120       0.242056    0.928285        0.993990              0.762629    0.803200        0.964600              00:10     
121       0.268060    0.924279        0.991987              0.745625    0.815600        0.967400              00:10     
122       0.242668    0.926883        0.993790              0.714286    0.818200        0.963400              00:10     
123       0.249449    0.927684        0.992388              0.714675    0.811400        0.967600              00:10     
124       0.253629    0.923878        0.992588              0.726265    0.815000        0.968000              00:10     
125       0.242130    0.928686        0.991787              0.656405    0.813200        0.970600              00:10     
126       0.222380    0.932492        0.993389              0.722139    0.804800        0.965000              00:10     
127       0.233136    0.930889        0.992989              0.752168    0.805800        0.968400              00:10     
128       0.232927    0.930489        0.992989              0.678826    0.817600        0.966600              00:10     
129       0.252246    0.928886        0.992989              0.770726    0.802200        0.962200              00:10     
130       0.235034    0.934696        0.992388              0.745171    0.803400        0.963800              00:10     
131       0.228037    0.932692        0.993990              0.815974    0.795800        0.967000              00:10     
132       0.242939    0.929287        0.992588              0.728426    0.810000        0.964400              00:10     
133       0.203686    0.944511        0.994992              0.699353    0.821800        0.969800              00:10     
134       0.217839    0.932692        0.990986              0.732300    0.812400        0.963800              00:10     
135       0.214280    0.933093        0.993990              0.770069    0.805200        0.967600              00:10     
136       0.236630    0.928285        0.991987              0.755401    0.799400        0.970000              00:11     
137       0.230687    0.934896        0.994391              0.717974    0.821000        0.966800              00:11     
138       0.220194    0.935096        0.992989              0.710561    0.818000        0.967600              00:11     
139       0.228451    0.934295        0.993189              0.698522    0.817000        0.966400              00:10     
140       0.227523    0.935897        0.993790              0.670640    0.819800        0.971600              00:10     
141       0.198781    0.946314        0.995192              0.711463    0.817800        0.969200              00:10     
142       0.220988    0.935497        0.994191              0.756773    0.810200        0.967600              00:10     
143       0.200563    0.941506        0.992588              0.649014    0.832800        0.973600              00:10     
144       0.201049    0.941506        0.993790              0.724741    0.816400        0.963800              00:10     
145       0.194246    0.937700        0.994391              0.856967    0.792000        0.961400              00:11     
146       0.221017    0.935096        0.993189              0.687078    0.819200        0.967800              00:11     
147       0.228589    0.933494        0.993790              0.796627    0.789800        0.962000              00:11     
148       0.202270    0.945312        0.994792              0.706271    0.820200        0.969200              00:11     
149       0.206086    0.941707        0.992989              0.693176    0.820200        0.967000              00:11     
