epoch     train_loss  train_accuracy  train_top_k_accuracy  valid_loss  valid_accuracy  valid_top_k_accuracy  time    
0         3.523146    0.035857        0.175080              3.463088    0.040400        0.181600              00:22     
1         3.457654    0.036258        0.187700              3.427651    0.038600        0.179600              00:21     
2         3.197446    0.069712        0.318910              3.046218    0.108200        0.407200              00:20     
3         2.942969    0.125401        0.435697              2.833084    0.121400        0.460600              00:21     
4         2.778112    0.138221        0.501402              2.582024    0.171800        0.572800              00:21     
5         2.593705    0.190104        0.579728              2.448565    0.215600        0.612200              00:21     
6         2.474584    0.221354        0.636819              2.301906    0.270800        0.677200              00:21     
7         2.300192    0.279447        0.695713              2.371030    0.253200        0.665400              00:21     
8         2.180631    0.313502        0.726963              2.085179    0.351000        0.736000              00:21     
9         2.067371    0.357372        0.767829              1.877230    0.414200        0.796800              00:21     
10        1.935412    0.403045        0.782853              1.832464    0.423000        0.810000              00:21     
11        1.829637    0.419872        0.820913              1.734679    0.458200        0.829000              00:21     
12        1.753652    0.455529        0.828926              1.684287    0.472000        0.847200              00:21     
13        1.684486    0.481771        0.837540              1.548023    0.510400        0.854800              00:21     
14        1.531667    0.527043        0.871995              1.447404    0.549000        0.877200              00:21     
15        1.490916    0.535857        0.873998              1.407939    0.562800        0.880200              00:21     
16        1.421680    0.565905        0.885016              1.368854    0.579600        0.894000              00:21     
17        1.395233    0.570513        0.890024              1.243124    0.617600        0.909000              00:21     
18        1.320336    0.603766        0.902444              1.231703    0.617800        0.907600              00:21     
19        1.267479    0.609175        0.908053              1.156281    0.641400        0.921000              00:21     
20        1.234537    0.623397        0.918069              1.196711    0.639200        0.915600              00:21     
21        1.166019    0.649038        0.923678              1.086254    0.667000        0.925400              00:21     
22        1.134718    0.647636        0.925280              1.137187    0.641200        0.921000              00:21     
23        1.090556    0.668470        0.932492              0.992229    0.696000        0.938400              00:22     
24        1.055022    0.678486        0.940304              0.990291    0.696000        0.943000              00:22     
25        1.014698    0.688301        0.938902              0.932872    0.715800        0.942200              00:21     
26        1.030442    0.688502        0.936699              0.949883    0.700800        0.945400              00:21     
27        0.990028    0.707532        0.947316              0.970372    0.699600        0.940000              00:21     
28        0.990739    0.702524        0.941306              0.883642    0.726000        0.945600              00:21     
29        0.964828    0.702324        0.950921              0.915489    0.712200        0.947800              00:21     
30        0.900652    0.718349        0.950120              0.849018    0.743200        0.952800              00:21     
31        0.905852    0.726362        0.953125              0.922645    0.714200        0.946200              00:21     
32        0.856466    0.745593        0.957131              0.830457    0.746200        0.955400              00:21     
33        0.844451    0.738782        0.954127              0.765025    0.762800        0.961800              00:21     
34        0.858683    0.732372        0.956931              0.796834    0.755600        0.960000              00:21     
35        0.842990    0.746795        0.959335              0.754459    0.770600        0.960600              00:21     
36        0.822356    0.748197        0.959736              0.930798    0.714400        0.947200              00:21     
37        0.788482    0.750000        0.965345              0.822732    0.752800        0.955000              00:21     
38        0.759032    0.770433        0.962139              0.813668    0.747600        0.952800              00:21     
39        0.757104    0.769030        0.965345              0.780785    0.761800        0.959400              00:21     
40        0.721887    0.780248        0.968349              0.777344    0.762000        0.958200              00:21     
41        0.684394    0.785056        0.970553              0.853440    0.743800        0.955600              00:21     
