epoch     train_loss  train_accuracy  train_top_k_accuracy  valid_loss  valid_accuracy  valid_top_k_accuracy  time    
0         1.713233    0.423478        0.754808              0.914723    0.717400        0.955000              00:13     
1         1.039509    0.719551        0.950721              0.831715    0.748800        0.962200              00:11     
2         0.810881    0.765825        0.969151              0.621761    0.813000        0.979400              00:11     
3         0.679384    0.801482        0.971755              0.608721    0.813400        0.980600              00:11     
4         0.619170    0.818510        0.977564              0.528618    0.838200        0.984000              00:11     
5         0.587455    0.830929        0.975361              0.553619    0.835800        0.977200              00:11     
6         0.553801    0.834135        0.982372              0.558803    0.831200        0.980600              00:10     
7         0.547727    0.834335        0.979768              0.522954    0.832600        0.985400              00:10     
8         0.512153    0.849760        0.978966              0.565701    0.831800        0.976600              00:11     
9         0.474023    0.860377        0.985777              0.574009    0.819400        0.979000              00:11     
10        0.463774    0.858173        0.986178              0.504673    0.842400        0.983400              00:11     
11        0.492096    0.857572        0.982772              0.561559    0.827400        0.982400              00:11     
12        0.469159    0.858574        0.984776              0.554447    0.833600        0.980600              00:12     
13        0.412357    0.876603        0.988982              0.499253    0.850600        0.982000              00:11     
14        0.404046    0.877604        0.988381              0.472377    0.857200        0.983000              00:11     
15        0.396651    0.883013        0.990585              0.554300    0.837600        0.979400              00:10     
16        0.380199    0.881010        0.989383              0.462049    0.861800        0.985000              00:11     
17        0.381787    0.887821        0.992188              0.481897    0.854400        0.985000              00:10     
18        0.387105    0.882812        0.989984              0.593922    0.829000        0.977600              00:10     
19        0.346674    0.896434        0.991186              0.482382    0.857000        0.980800              00:11     
20        0.347710    0.895433        0.987981              0.438778    0.872400        0.984800              00:11     
21        0.368177    0.890224        0.990785              0.465361    0.860200        0.983600              00:11     
22        0.336717    0.899038        0.990385              0.505508    0.848600        0.985400              00:11     
23        0.324266    0.903646        0.991186              0.520376    0.849400        0.981800              00:10     
24        0.332254    0.893429        0.989984              0.442083    0.865000        0.988400              00:11     
25        0.316877    0.908053        0.993590              0.503885    0.859400        0.978600              00:11     
26        0.308386    0.908854        0.990785              0.480738    0.860000        0.981800              00:10     
27        0.282758    0.916066        0.993790              0.474149    0.859400        0.985400              00:11     
28        0.280709    0.915465        0.996394              0.536940    0.840600        0.981400              00:12     
29        0.279080    0.914263        0.992388              0.457548    0.867200        0.986400              00:10     
30        0.278514    0.909856        0.992188              0.522399    0.848200        0.982200              00:11     
31        0.277039    0.911458        0.991587              0.412733    0.878800        0.987200              00:10     
32        0.259193    0.926683        0.996995              0.573099    0.838400        0.983600              00:10     
33        0.264087    0.918269        0.992788              0.532912    0.849000        0.983600              00:10     
34        0.252390    0.922676        0.994591              0.388943    0.885800        0.987000              00:10     
35        0.274240    0.919471        0.993590              0.515467    0.851000        0.977200              00:11     
36        0.258817    0.923077        0.993990              0.552835    0.852800        0.981200              00:11     
37        0.237300    0.930689        0.995393              0.460606    0.868800        0.984000              00:11     
