epoch     train_loss  train_accuracy  train_top_k_accuracy  valid_loss  valid_accuracy  valid_top_k_accuracy  time    
0         3.139328    0.083133        0.331330              2.994262    0.103200        0.406600              00:41     
1         2.823565    0.160457        0.496595              2.599238    0.198200        0.573200              00:40     
2         2.555024    0.230970        0.615385              2.418166    0.262200        0.632200              00:40     
3         2.355324    0.297476        0.695713              2.141783    0.328200        0.743400              00:40     
4         2.119230    0.358574        0.754808              2.007370    0.390200        0.782200              00:40     
5         1.968918    0.388021        0.790665              1.950185    0.401800        0.782400              00:41     
6         1.853655    0.419872        0.809896              1.804592    0.447800        0.815200              00:41     
7         1.815305    0.442107        0.827524              1.778901    0.438400        0.835000              00:41     
8         1.750129    0.469151        0.830329              1.654878    0.492400        0.843600              00:41     
9         1.696931    0.475962        0.848758              1.762316    0.460600        0.825600              00:41     
10        1.650178    0.491386        0.855970              1.622979    0.510600        0.848200              00:41     
11        1.591163    0.508614        0.870994              1.691595    0.481800        0.837800              00:41     
12        1.538153    0.514824        0.877204              1.573938    0.510200        0.861000              00:41     
13        1.507460    0.544872        0.880008              1.536796    0.526000        0.867000              00:41     
14        1.451209    0.546675        0.893429              1.527435    0.523000        0.868600              00:41     
15        1.443339    0.552083        0.896034              1.457098    0.548200        0.878000              00:41     
16        1.427422    0.548678        0.894030              1.519314    0.534000        0.866800              00:41     
17        1.374480    0.578125        0.898438              1.401824    0.564400        0.891000              00:41     
18        1.328735    0.585136        0.902244              1.429131    0.560000        0.887600              00:41     
19        1.283189    0.596154        0.913261              1.434055    0.550000        0.895800              00:41     
20        1.301521    0.593149        0.915865              1.420395    0.573000        0.879800              00:41     
21        1.243778    0.612179        0.922075              1.395993    0.577800        0.894600              00:41     
22        1.236545    0.612380        0.921675              1.314976    0.588600        0.903800              00:41     
23        1.182462    0.627604        0.932692              1.402552    0.559800        0.897800              00:41     
24        1.209309    0.618790        0.931090              1.316139    0.593600        0.896800              00:41     
25        1.177796    0.621795        0.932893              1.307291    0.600400        0.902400              00:41     
26        1.145944    0.641226        0.933694              1.277520    0.608400        0.911200              00:41     
27        1.129649    0.639423        0.939904              1.350512    0.587400        0.892000              00:40     
28        1.140233    0.640024        0.938101              1.239154    0.604400        0.918400              00:41     
29        1.087399    0.659455        0.941907              1.329218    0.596600        0.906800              00:41     
30        1.057630    0.664263        0.940104              1.238903    0.623000        0.915800              00:41     
