epoch     train_loss  train_accuracy  train_top_k_accuracy  valid_loss  valid_accuracy  valid_top_k_accuracy  time    
0         1.302859    0.583333        0.872196              1.462546    0.592600        0.906000              00:11     
1         0.859464    0.763622        0.961138              1.053953    0.679800        0.945000              00:10     
2         0.700633    0.797877        0.972556              0.939171    0.740000        0.950800              00:10     
3         0.604491    0.825521        0.978566              0.629845    0.817600        0.976200              00:10     
4         0.523434    0.843750        0.981971              1.016391    0.722800        0.952400              00:10     
5         0.512101    0.848558        0.981771              0.586780    0.830200        0.981200              00:10     
6         0.501339    0.851362        0.982973              0.747003    0.805800        0.968400              00:10     
7         0.461152    0.864183        0.986979              0.773224    0.777000        0.962200              00:10     
8         0.435058    0.875200        0.987580              0.545183    0.842400        0.978800              00:10     
9         0.395954    0.882412        0.989383              0.570014    0.833200        0.979800              00:10     
10        0.355693    0.892628        0.990986              0.667550    0.818600        0.973200              00:10     
11        0.342039    0.900441        0.992188              0.930385    0.802200        0.968400              00:10     
12        0.342148    0.899239        0.991587              0.510706    0.864000        0.983000              00:10     
13        0.326421    0.905449        0.989583              0.516540    0.856400        0.984200              00:10     
14        0.325468    0.904247        0.990986              0.690046    0.821600        0.961200              00:10     
15        0.294300    0.910857        0.992388              0.505369    0.856000        0.985000              00:12     
16        0.275204    0.917268        0.992989              0.525534    0.856600        0.986600              00:10     
17        0.282271    0.912460        0.991987              0.520666    0.862600        0.979600              00:10     
18        0.285444    0.912861        0.991787              0.554948    0.852800        0.983200              00:10     
19        0.252152    0.924279        0.994391              0.580598    0.845800        0.980000              00:10     
20        0.258035    0.922877        0.993189              0.510592    0.866000        0.983200              00:10     
21        0.268049    0.925280        0.990785              2.410510    0.642600        0.871000              00:10     
22        0.243349    0.930288        0.994992              0.974812    0.795600        0.965800              00:10     
23        0.214431    0.939503        0.994391              0.529823    0.855400        0.980000              00:10     
24        0.215763    0.933494        0.994992              0.394485    0.890600        0.988600              00:10     
25        0.206289    0.938702        0.993990              0.439888    0.875000        0.985400              00:10     
26        0.217408    0.933694        0.993990              0.363890    0.899600        0.989200              00:10     
27        0.208265    0.940304        0.994591              0.338147    0.903600        0.989400              00:10     
28        0.190382    0.940104        0.996595              1.491200    0.731600        0.919600              00:10     
29        0.198709    0.943510        0.995393              0.734920    0.877200        0.982000              00:10     
30        0.199828    0.941306        0.996595              0.668847    0.833800        0.976200              00:10     
31        0.206892    0.941506        0.992588              1.143195    0.756200        0.947400              00:10     
32        0.190114    0.942308        0.995793              0.520731    0.864600        0.983800              00:10     
33        0.159125    0.949119        0.997796              0.626024    0.845200        0.982200              00:10     
34        0.187406    0.942708        0.993990              0.517982    0.861200        0.980800              00:10     
35        0.175626    0.949920        0.994992              0.671607    0.828000        0.971000              00:10     
36        0.160598    0.954127        0.996595              0.509982    0.867200        0.978800              00:10     
37        0.154504    0.950521        0.995192              0.440028    0.880200        0.986600              00:10     
38        0.193274    0.939103        0.994391              0.394509    0.883200        0.988800              00:09     
39        0.169282    0.950721        0.997997              0.570051    0.858600        0.979800              00:10     
40        0.170233    0.952524        0.996995              0.399088    0.887200        0.987400              00:10     
41        0.163257    0.954127        0.996194              0.616079    0.853400        0.981200              00:10     
42        0.140800    0.957532        0.997596              0.451816    0.882000        0.988200              00:10     
43        0.157673    0.954327        0.996194              0.505768    0.876000        0.980200              00:10     
44        0.166073    0.950921        0.996595              0.408138    0.890000        0.989600              00:10     
45        0.151144    0.958333        0.997596              0.779652    0.814400        0.972000              00:10     
46        0.144389    0.957732        0.997796              0.494194    0.874400        0.986600              00:10     
47        0.141400    0.959736        0.997196              0.431548    0.895000        0.988400              00:10     
48        0.139443    0.959535        0.996995              0.392498    0.892600        0.990000              00:10     
49        0.140463    0.953926        0.996795              0.554551    0.864400        0.980200              00:10     
50        0.141085    0.959335        0.996394              0.463988    0.888800        0.988600              00:10     
51        0.143463    0.958734        0.996995              0.353985    0.908800        0.992000              00:09     
52        0.135184    0.960938        0.995994              0.350153    0.902600        0.989600              00:10     
53        0.132379    0.961338        0.995994              0.326630    0.909800        0.992200              00:10     
54        0.122220    0.965345        0.997196              0.385149    0.897600        0.987400              00:11     
55        0.136331    0.960938        0.996194              0.421607    0.895400        0.987200              00:10     
56        0.127237    0.958333        0.997997              0.725665    0.845800        0.973200              00:10     
57        0.122810    0.964343        0.997796              0.491501    0.866800        0.986000              00:10     
58        0.132970    0.959736        0.996595              0.451993    0.881000        0.986000              00:10     
59        0.140009    0.959335        0.997596              0.419784    0.890800        0.988000              00:10     
60        0.131863    0.963341        0.997196              0.572947    0.892600        0.983200              00:10     
61        0.124750    0.961939        0.996595              0.405007    0.891200        0.986800              00:10     
62        0.111315    0.970152        0.997997              0.531749    0.866400        0.981000              00:10     
63        0.124626    0.960537        0.997396              0.349927    0.904400        0.990000              00:10     
64        0.116555    0.965345        0.997796              0.426033    0.885400        0.983600              00:10     
65        0.129252    0.962540        0.997596              0.332605    0.908400        0.990800              00:10     
66        0.119201    0.966546        0.998197              0.447157    0.896600        0.986600              00:10     
67        0.127239    0.965144        0.997596              0.432242    0.891800        0.985200              00:10     
68        0.112412    0.971154        0.997997              0.375906    0.902000        0.991800              00:10     
69        0.127363    0.958333        0.997396              0.747297    0.831600        0.975000              00:10     
70        0.116687    0.968550        0.997997              0.573581    0.866400        0.979000              00:10     
71        0.112051    0.964343        0.999199              1.868753    0.739800        0.922600              00:10     
72        0.114038    0.968149        0.998197              0.639038    0.855600        0.978200              00:10     
73        0.110731    0.967949        0.997997              0.429824    0.896600        0.987400              00:10     
74        0.103547    0.969952        0.998397              0.394229    0.902400        0.990200              00:10     
75        0.129955    0.965946        0.996795              0.945372    0.799800        0.958200              00:10     
76        0.112985    0.965946        0.997396              0.339036    0.916800        0.991200              00:10     
77        0.104655    0.972957        0.996995              0.336687    0.918000        0.991000              00:09     
78        0.105337    0.966747        0.997396              0.426074    0.897200        0.987600              00:10     
79        0.099570    0.969351        0.998197              0.399473    0.896600        0.987800              00:09     
80        0.109680    0.965745        0.998397              0.389648    0.899800        0.987800              00:10     
81        0.118762    0.965545        0.996995              0.506018    0.867000        0.985600              00:10     
82        0.104237    0.970954        0.998598              0.437623    0.900200        0.987200              00:10     
83        0.102605    0.965545        0.997396              0.410564    0.899000        0.986000              00:10     
84        0.115941    0.964944        0.997796              0.388410    0.905600        0.990200              00:10     
85        0.099173    0.971755        0.998598              0.309622    0.925000        0.991400              00:10     
86        0.091960    0.972957        0.998598              0.493749    0.878800        0.987400              00:10     
87        0.094958    0.971955        0.998197              0.615089    0.868800        0.979400              00:10     
88        0.090303    0.975361        0.997596              0.301492    0.918200        0.994000              00:10     
89        0.108478    0.965345        0.997796              0.735983    0.841000        0.976200              00:10     
90        0.094297    0.973357        0.998998              0.359874    0.910400        0.991200              00:10     
91        0.099472    0.970753        0.998197              0.528615    0.867200        0.982400              00:10     
92        0.091772    0.972756        0.998397              0.553064    0.877600        0.983800              00:10     
93        0.095037    0.972356        0.998197              0.386523    0.907600        0.989800              00:10     
94        0.088230    0.973758        0.998197              0.406080    0.904400        0.987400              00:10     
95        0.083754    0.975361        0.999399              0.494454    0.897200        0.990000              00:11     
96        0.086859    0.973357        0.997997              0.407748    0.900800        0.989600              00:10     
97        0.105672    0.964343        0.997997              0.402380    0.897400        0.989200              00:09     
98        0.079476    0.976362        0.997997              0.328334    0.919200        0.991200              00:10     
99        0.088630    0.972356        0.998598              0.392033    0.912600        0.992400              00:10     
100       0.077826    0.975361        0.997997              0.407611    0.908600        0.990200              00:10     
101       0.088410    0.974760        0.998397              0.465817    0.890800        0.986400              00:10     
102       0.101738    0.969151        0.996595              0.332449    0.912200        0.992000              00:09     
103       0.098205    0.972155        0.998197              0.354934    0.907800        0.990800              00:10     
104       0.087143    0.974960        0.998598              0.366571    0.907200        0.990400              00:10     
105       0.080039    0.976562        0.998197              0.339646    0.912200        0.991200              00:10     
106       0.079130    0.976562        0.998598              0.379661    0.906800        0.988400              00:10     
107       0.087234    0.975361        0.998397              0.483332    0.880400        0.984200              00:10     
108       0.088694    0.974159        0.998798              0.488559    0.894400        0.984800              00:10     
109       0.088715    0.970753        0.997796              0.338250    0.918800        0.988800              00:10     
110       0.088917    0.977764        0.998397              0.424813    0.904200        0.988400              00:10     
111       0.075735    0.976963        0.998598              0.351403    0.919200        0.990400              00:10     
112       0.073284    0.977163        0.999599              0.385368    0.913000        0.990200              00:10     
113       0.087924    0.974159        0.998197              0.512353    0.879000        0.988400              00:10     
114       0.084142    0.973958        0.997997              0.410298    0.901000        0.987000              00:12     
115       0.077368    0.977764        0.998397              0.497227    0.889000        0.986000              00:10     
116       0.077518    0.977163        0.998998              0.406555    0.907400        0.990600              00:10     
117       0.080414    0.977965        0.998798              0.363814    0.911600        0.990400              00:10     
118       0.090519    0.976362        0.997796              0.536583    0.887400        0.984200              00:10     
119       0.082820    0.973958        0.998197              0.350903    0.922200        0.992200              00:10     
120       0.079296    0.973558        0.997396              0.426039    0.907600        0.987400              00:10     
121       0.078781    0.975761        0.998197              0.461934    0.896000        0.989200              00:10     
122       0.084011    0.976162        0.998598              0.474949    0.891000        0.985600              00:10     
123       0.079017    0.976162        0.998798              0.460939    0.887400        0.988800              00:10     
124       0.088770    0.972356        0.998798              0.377903    0.910400        0.990600              00:11     
125       0.085415    0.972957        0.998397              0.544326    0.885000        0.982600              00:10     
126       0.093199    0.974760        0.998598              0.722048    0.858000        0.973400              00:10     
127       0.071305    0.977764        0.998798              0.347078    0.916400        0.990600              00:09     
128       0.075438    0.979367        0.998397              0.425184    0.899200        0.990800              00:10     
129       0.072555    0.977163        0.999399              0.401935    0.903000        0.990200              00:10     
130       0.078813    0.974359        0.998598              0.435253    0.894800        0.988600              00:11     
131       0.076447    0.978566        0.998998              0.470372    0.894200        0.987600              00:11     
132       0.086678    0.975160        0.998998              0.405998    0.904000        0.987000              00:10     
133       0.083063    0.976562        0.998798              0.385545    0.913800        0.989400              00:10     
134       0.077229    0.976362        0.998598              0.544049    0.877800        0.984000              00:10     
135       0.064905    0.977564        0.998998              0.678074    0.855400        0.975800              00:10     
136       0.073978    0.977965        0.997596              0.336755    0.922200        0.992000              00:11     
137       0.069309    0.979367        0.999199              0.386181    0.909800        0.988000              00:10     
138       0.080979    0.974760        0.998998              0.357466    0.915600        0.990200              00:10     
139       0.073126    0.980769        0.998998              0.388920    0.907200        0.989800              00:10     
140       0.076451    0.979167        0.998397              0.371900    0.914000        0.990400              00:10     
141       0.076563    0.978566        0.997997              0.358624    0.915800        0.989000              00:10     
142       0.079949    0.977564        0.998397              0.334538    0.920400        0.991200              00:10     
143       0.075160    0.977965        0.997796              0.462808    0.889200        0.986400              00:09     
144       0.069829    0.978365        0.998397              0.379768    0.907400        0.989600              00:10     
145       0.073178    0.979968        0.998197              0.355088    0.911800        0.988800              00:10     
146       0.078913    0.976963        0.998598              0.844489    0.818000        0.967000              00:11     
147       0.069083    0.982372        0.997997              0.382602    0.909000        0.990400              00:10     
148       0.078641    0.975160        0.999399              0.408528    0.899000        0.985600              00:10     
149       0.061934    0.979367        0.997997              0.301298    0.923200        0.991000              00:10     
150       0.067363    0.978766        0.999399              0.864435    0.819400        0.971200              00:10     
151       0.052925    0.983774        0.999399              0.386938    0.913600        0.988600              00:10     
152       0.061964    0.979567        0.998998              0.830559    0.831400        0.972600              00:10     
153       0.059931    0.980970        0.998998              0.407070    0.904000        0.989000              00:10     
154       0.071030    0.979567        0.998798              1.337021    0.772600        0.953200              00:10     
155       0.070254    0.978566        0.999199              0.354880    0.913600        0.992600              00:10     
156       0.075903    0.975761        0.999599              0.428219    0.900800        0.989400              00:10     
157       0.078759    0.977564        0.998598              0.404893    0.899200        0.987600              00:10     
158       0.062588    0.980168        0.998998              0.337629    0.917400        0.992200              00:10     
159       0.063617    0.981571        0.999399              0.321891    0.918000        0.992200              00:10     
160       0.065316    0.979367        0.998598              0.365355    0.915000        0.990600              00:10     
161       0.066286    0.978766        0.998798              0.440462    0.903200        0.989200              00:10     
162       0.068896    0.979968        0.997796              0.477752    0.897000        0.983000              00:10     
163       0.071378    0.977965        0.998197              0.408553    0.908600        0.989400              00:10     
164       0.057000    0.984175        0.998998              0.404323    0.910000        0.991400              00:10     
165       0.066547    0.977965        0.998397              0.479721    0.891200        0.986600              00:10     
166       0.078882    0.979567        0.998798              0.439710    0.895600        0.989000              00:11     
167       0.076699    0.977364        0.998598              0.524601    0.879400        0.980600              00:10     
168       0.063327    0.982171        0.999199              0.365918    0.918000        0.988400              00:10     
169       0.062618    0.982973        0.998798              0.353146    0.912000        0.989200              00:10     
170       0.070977    0.978365        0.998397              0.555413    0.882200        0.982600              00:10     
171       0.063317    0.977163        0.998197              0.304141    0.925000        0.991600              00:10     
172       0.063011    0.981170        0.998397              0.842451    0.833600        0.968000              00:10     
173       0.055718    0.983774        0.998798              0.453624    0.895600        0.987200              00:10     
174       0.066104    0.980569        0.998598              0.367936    0.915400        0.991000              00:10     
175       0.058732    0.981971        0.999199              0.411306    0.910400        0.987200              00:10     
176       0.074207    0.980769        0.998197              0.491998    0.903600        0.987200              00:10     
177       0.082022    0.978566        0.998798              0.447937    0.894400        0.985600              00:10     
178       0.064356    0.981971        0.998798              0.384768    0.915400        0.990600              00:10     
179       0.061361    0.981971        0.998197              0.380688    0.920400        0.990600              00:10     
180       0.062976    0.981971        0.999199              0.372451    0.924600        0.991000              00:10     
