epoch     train_loss  train_accuracy  train_top_k_accuracy  valid_loss  valid_accuracy  valid_top_k_accuracy  time    
0         3.599269    0.072917        0.277845              3.118900    0.094400        0.352400              00:32     
1         3.076757    0.136619        0.424880              2.802714    0.177400        0.497600              00:30     
2         2.701806    0.204327        0.568510              2.455365    0.268200        0.628800              00:31     
3         2.369509    0.299880        0.689503              2.167223    0.337600        0.741800              00:31     
4         2.196265    0.343550        0.743790              2.158256    0.350800        0.730200              00:31     
5         2.040206    0.377604        0.768029              1.865247    0.420000        0.805000              00:31     
6         1.929374    0.412260        0.793670              1.961272    0.413000        0.788200              00:31     
7         1.825229    0.449720        0.817508              1.709639    0.486000        0.832600              00:31     
8         1.743662    0.469351        0.837540              1.698904    0.484600        0.832200              00:31     
9         1.679373    0.493189        0.848958              1.708126    0.474000        0.836400              00:31     
10        1.565832    0.519431        0.873998              1.517695    0.537200        0.868800              00:31     
11        1.589050    0.513822        0.864583              1.726344    0.477600        0.834800              00:31     
12        1.494134    0.534255        0.887220              1.440187    0.557200        0.884800              00:32     
13        1.433377    0.557091        0.893630              1.484809    0.537200        0.882200              00:31     
14        1.422764    0.560897        0.893830              1.418776    0.565600        0.890400              00:31     
15        1.352321    0.591346        0.903045              1.406027    0.565000        0.892800              00:31     
16        1.316635    0.586939        0.916266              1.404411    0.569600        0.891800              00:31     
17        1.305537    0.594551        0.911458              1.399513    0.573400        0.894600              00:31     
18        1.230343    0.612380        0.921474              1.326590    0.599200        0.898600              00:31     
19        1.212294    0.620393        0.925481              1.278728    0.602400        0.908000              00:31     
20        1.175475    0.638622        0.932692              1.254401    0.612200        0.914600              00:31     
21        1.137420    0.649439        0.933093              1.277794    0.607800        0.906000              00:31     
22        1.121519    0.645633        0.933694              1.249791    0.611600        0.910400              00:31     
23        1.100735    0.656050        0.936699              1.263151    0.622800        0.909600              00:31     
24        1.054544    0.662861        0.941106              1.349712    0.594000        0.898000              00:31     
25        1.027230    0.673077        0.941707              1.145704    0.649400        0.922400              00:31     
26        0.982940    0.690705        0.952524              1.162354    0.645600        0.919000              00:31     
27        0.991508    0.680689        0.954127              1.165120    0.633400        0.924800              00:31     
28        0.977593    0.697316        0.956130              1.169568    0.647400        0.914200              00:31     
29        0.921860    0.717748        0.956130              1.107034    0.659200        0.934800              00:31     
30        0.893681    0.713542        0.956330              1.156813    0.647400        0.925400              00:31     
31        0.883712    0.722155        0.966747              1.227364    0.640400        0.918600              00:31     
32        0.852175    0.729167        0.965144              1.102091    0.670000        0.935400              00:31     
33        0.842236    0.739383        0.961939              1.103640    0.665200        0.932600              00:31     
34        0.815836    0.747997        0.966146              1.084421    0.666000        0.935600              00:31     
35        0.767957    0.760016        0.972155              1.095973    0.670000        0.932200              00:31     
36        0.755060    0.755409        0.968950              0.997869    0.701200        0.943200              00:31     
37        0.724546    0.763822        0.976963              1.100898    0.674600        0.928200              00:31     
38        0.755161    0.754207        0.974359              1.167696    0.656600        0.932200              00:31     
39        0.710350    0.775040        0.975962              1.097960    0.672800        0.930800              00:31     
40        0.691850    0.779046        0.978365              1.065844    0.675800        0.936600              00:31     
41        0.684784    0.790064        0.971554              1.033431    0.675000        0.939200              00:31     
42        0.649283    0.791667        0.979968              1.079852    0.687400        0.933000              00:31     
43        0.635344    0.804487        0.981370              1.079097    0.678200        0.935000              00:31     
44        0.631481    0.802684        0.981971              1.080853    0.685000        0.937200              00:31     
45        0.618470    0.810897        0.981370              1.104978    0.686200        0.938400              00:31     
46        0.621376    0.802284        0.982372              1.117857    0.682000        0.935600              00:31     
47        0.582726    0.811899        0.982372              1.016449    0.704000        0.941000              00:31     
48        0.574536    0.820913        0.983574              0.985486    0.714400        0.944600              00:31     
49        0.570834    0.816106        0.985777              1.125671    0.684200        0.935600              00:31     
50        0.547545    0.835737        0.982572              1.004216    0.712800        0.942800              00:31     
51        0.549344    0.828726        0.986378              1.104176    0.683400        0.932800              00:31     
52        0.513798    0.842147        0.986979              1.044264    0.705800        0.940800              00:31     
53        0.512127    0.833333        0.987179              1.011034    0.714000        0.943400              00:31     
54        0.512555    0.838141        0.987981              1.063673    0.690600        0.941200              00:31     
55        0.506450    0.842748        0.986979              1.039764    0.704400        0.939800              00:31     
56        0.487410    0.859976        0.987580              1.071940    0.701400        0.934600              00:31     
57        0.506844    0.840545        0.986579              1.001384    0.716400        0.942200              00:31     
58        0.479933    0.851562        0.986779              1.082494    0.696000        0.940200              00:31     
59        0.461317    0.854567        0.986378              1.065496    0.706400        0.938000              00:31     
60        0.443793    0.865385        0.989784              1.121165    0.684000        0.935400              00:31     
61        0.444955    0.863582        0.987780              1.124305    0.692200        0.939200              00:31     
62        0.446201    0.861979        0.987981              1.071013    0.699400        0.942800              00:31     
63        0.418587    0.866787        0.991587              1.019796    0.723000        0.941600              00:32     
64        0.405117    0.878606        0.991386              1.061507    0.705800        0.944600              00:31     
