epoch     train_loss  train_accuracy  train_top_k_accuracy  valid_loss  valid_accuracy  valid_top_k_accuracy  time    
0         3.002458    0.103766        0.368790              2.759688    0.155600        0.505600              00:25     
1         2.699442    0.185096        0.570112              2.445368    0.227400        0.652200              00:24     
2         2.534182    0.222957        0.623598              2.289839    0.287600        0.705600              00:24     
3         2.460194    0.247396        0.651442              2.284494    0.287000        0.694800              00:24     
4         2.230681    0.306490        0.727564              2.011001    0.372400        0.763400              00:24     
5         1.986193    0.388822        0.792067              1.822196    0.414800        0.824800              00:24     
6         1.840277    0.424880        0.821915              1.681787    0.464800        0.851000              00:24     
7         1.755390    0.452324        0.842548              1.659729    0.473400        0.871200              00:24     
8         1.624777    0.491987        0.864183              1.428586    0.548800        0.888200              00:24     
9         1.519916    0.525441        0.884415              1.368660    0.571800        0.897800              00:24     
10        1.445506    0.539463        0.894631              1.513624    0.531600        0.874600              00:24     
11        1.375852    0.573317        0.905248              1.299184    0.590400        0.901000              00:24     
12        1.276199    0.597957        0.916667              1.266454    0.603800        0.912600              00:24     
13        1.232886    0.621595        0.916867              1.214495    0.614200        0.923600              00:24     
14        1.219377    0.618590        0.924079              1.327725    0.595600        0.898200              00:24     
15        1.151343    0.638421        0.927284              1.045047    0.676400        0.932600              00:24     
16        1.085223    0.667869        0.941907              1.052251    0.670400        0.938000              00:24     
17        1.044394    0.672676        0.948518              1.086805    0.652200        0.939200              00:24     
18        0.986090    0.698718        0.947115              0.978280    0.693400        0.948000              00:24     
19        0.994484    0.701122        0.950120              0.984988    0.699400        0.936800              00:24     
20        0.930925    0.716346        0.952724              0.934678    0.713800        0.949000              00:24     
21        0.907584    0.717147        0.957332              1.053188    0.671800        0.942400              00:24     
22        0.840176    0.735978        0.962740              0.868695    0.731800        0.958600              00:24     
23        0.807000    0.750401        0.965345              0.776206    0.758000        0.964600              00:24     
24        0.807938    0.747796        0.970553              0.908227    0.734800        0.941200              00:24     
25        0.779065    0.756410        0.966747              0.809056    0.752000        0.964400              00:24     
26        0.724175    0.771835        0.971554              0.854711    0.748400        0.962200              00:24     
27        0.710400    0.775240        0.971154              0.834335    0.740000        0.955200              00:24     
28        0.691179    0.785657        0.974559              0.704943    0.785000        0.968600              00:24     
29        0.670169    0.796274        0.975962              0.671752    0.791800        0.972200              00:24     
30        0.624840    0.810697        0.977364              0.766007    0.765800        0.967200              00:24     
31        0.611693    0.805088        0.975962              0.751740    0.769800        0.965600              00:24     
32        0.596183    0.812099        0.981170              0.677101    0.789000        0.971600              00:24     
33        0.638860    0.799679        0.981571              0.673714    0.789600        0.973600              00:24     
